"package","afmfile","fontfile","FullName","FamilyName","FontName","Bold","Italic","Symbol","afmsymfile"
NA,"segmdl2.afm.gz","C:\Windows\Fonts\segmdl2.ttf","Segoe MDL2 Assets","Segoe MDL2 Assets","SegoeMDL2Assets",FALSE,FALSE,FALSE,NA
NA,"segoepr.afm.gz","C:\Windows\Fonts\segoepr.ttf","Segoe Print","Segoe Print","SegoePrint",FALSE,FALSE,FALSE,NA
NA,"segoeprb.afm.gz","C:\Windows\Fonts\segoeprb.ttf","Segoe Print Bold","Segoe Print","SegoePrint-Bold",TRUE,FALSE,FALSE,NA
NA,"segoesc.afm.gz","C:\Windows\Fonts\segoesc.ttf","Segoe Script","Segoe Script","SegoeScript",FALSE,FALSE,FALSE,NA
NA,"segoescb.afm.gz","C:\Windows\Fonts\segoescb.ttf","Segoe Script Bold","Segoe Script","SegoeScript-Bold",TRUE,FALSE,FALSE,NA
NA,"segoeui.afm.gz","C:\Windows\Fonts\segoeui.ttf","Segoe UI","Segoe UI","SegoeUI",FALSE,FALSE,FALSE,NA
NA,"segoeuib.afm.gz","C:\Windows\Fonts\segoeuib.ttf","Segoe UI Bold","Segoe UI","SegoeUI-Bold",TRUE,FALSE,FALSE,NA
NA,"segoeuiz.afm.gz","C:\Windows\Fonts\segoeuiz.ttf","Segoe UI Bold Italic","Segoe UI","SegoeUI-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"segoeuii.afm.gz","C:\Windows\Fonts\segoeuii.ttf","Segoe UI Italic","Segoe UI","SegoeUI-Italic",FALSE,TRUE,FALSE,NA
NA,"segoeuil.afm.gz","C:\Windows\Fonts\segoeuil.ttf","Segoe UI Light","Segoe UI Light","SegoeUI-Light",FALSE,FALSE,FALSE,NA
NA,"seguili.afm.gz","C:\Windows\Fonts\seguili.ttf","Segoe UI Light Italic","Segoe UI Light","SegoeUI-LightItalic",FALSE,TRUE,FALSE,NA
NA,"seguisb.afm.gz","C:\Windows\Fonts\seguisb.ttf","Segoe UI Semibold","Segoe UI Semibold","SegoeUI-Semibold",FALSE,FALSE,FALSE,NA
NA,"seguisbi.afm.gz","C:\Windows\Fonts\seguisbi.ttf","Segoe UI Semibold Italic","Segoe UI Semibold","SegoeUI-SemiboldItalic",FALSE,TRUE,FALSE,NA
NA,"segoeuisl.afm.gz","C:\Windows\Fonts\segoeuisl.ttf","Segoe UI Semilight","Segoe UI Semilight","SegoeUI-Semilight",FALSE,FALSE,FALSE,NA
NA,"seguisli.afm.gz","C:\Windows\Fonts\seguisli.ttf","Segoe UI Semilight Italic","Segoe UI Semilight","SegoeUI-SemilightItalic",FALSE,TRUE,FALSE,NA
