"","date","total_killed","total_events_located_IL","total_events_located_yesha","total_events_target_civilian","total_events_target_security_forces","total_attacks","yearweek","week_range"
"195",2002-05-22,2,1,NA,1,NA,1,"2002-W20","2002-05-19 UTC--2002-05-25 UTC"
"196",2002-05-24,1,NA,1,NA,1,1,"2002-W20","2002-05-19 UTC--2002-05-25 UTC"
"197",2002-05-27,2,1,NA,1,NA,1,"2002-W21","2002-05-26 UTC--2002-06-01 UTC"
"198",2002-05-28,3,NA,1,1,NA,1,"2002-W21","2002-05-26 UTC--2002-06-01 UTC"
"199",2002-05-28,1,NA,1,1,NA,1,"2002-W21","2002-05-26 UTC--2002-06-01 UTC"
"200",2002-06-05,17,1,NA,1,NA,1,"2002-W22","2002-06-02 UTC--2002-06-08 UTC"
"201",2002-06-06,1,NA,1,1,NA,1,"2002-W22","2002-06-02 UTC--2002-06-08 UTC"
"202",2002-06-08,3,NA,1,1,NA,1,"2002-W22","2002-06-02 UTC--2002-06-08 UTC"
"203",2002-06-11,1,1,NA,1,NA,1,"2002-W23","2002-06-09 UTC--2002-06-15 UTC"
"204",2002-06-15,3,NA,1,NA,1,1,"2002-W23","2002-06-09 UTC--2002-06-15 UTC"
"205",2002-06-18,19,1,NA,1,NA,1,"2002-W24","2002-06-16 UTC--2002-06-22 UTC"
"206",2002-06-19,6,NA,1,1,NA,1,"2002-W24","2002-06-16 UTC--2002-06-22 UTC"
"207",2002-06-19,2,NA,1,NA,1,1,"2002-W24","2002-06-16 UTC--2002-06-22 UTC"
"208",2002-06-20,5,NA,1,1,NA,1,"2002-W24","2002-06-16 UTC--2002-06-22 UTC"
"209",2002-07-10,1,NA,1,NA,1,1,"2002-W27","2002-07-07 UTC--2002-07-13 UTC"
"210",2002-07-16,9,NA,1,1,NA,1,"2002-W28","2002-07-14 UTC--2002-07-20 UTC"
"211",2002-07-17,2,1,NA,1,NA,1,"2002-W28","2002-07-14 UTC--2002-07-20 UTC"
"212",2002-07-17,1,NA,1,NA,1,1,"2002-W28","2002-07-14 UTC--2002-07-20 UTC"
"213",2002-07-25,1,NA,1,1,NA,1,"2002-W29","2002-07-21 UTC--2002-07-27 UTC"
"214",2002-07-26,4,NA,1,1,NA,1,"2002-W29","2002-07-21 UTC--2002-07-27 UTC"
"215",2002-07-30,2,NA,1,1,NA,1,"2002-W30","2002-07-28 UTC--2002-08-03 UTC"
"216",2002-07-31,5,1,NA,1,NA,1,"2002-W30","2002-07-28 UTC--2002-08-03 UTC"
"217",2002-08-01,1,NA,1,1,NA,1,"2002-W30","2002-07-28 UTC--2002-08-03 UTC"
"218",2002-08-04,1,NA,1,1,NA,1,"2002-W31","2002-08-04 UTC--2002-08-10 UTC"
"219",2002-08-04,7,1,NA,1,NA,1,"2002-W31","2002-08-04 UTC--2002-08-10 UTC"
"220",2002-08-05,2,NA,1,1,NA,1,"2002-W31","2002-08-04 UTC--2002-08-10 UTC"
"221",2002-08-10,1,NA,1,1,NA,1,"2002-W31","2002-08-04 UTC--2002-08-10 UTC"
"222",2002-08-20,1,NA,1,NA,1,1,"2002-W33","2002-08-18 UTC--2002-08-24 UTC"
"223",2002-09-05,1,NA,1,NA,1,1,"2002-W35","2002-09-01 UTC--2002-09-07 UTC"
"224",2002-09-05,1,NA,1,NA,1,1,"2002-W35","2002-09-01 UTC--2002-09-07 UTC"
"225",2002-09-18,1,NA,1,1,NA,1,"2002-W37","2002-09-15 UTC--2002-09-21 UTC"
"226",2002-09-18,1,NA,1,1,NA,1,"2002-W37","2002-09-15 UTC--2002-09-21 UTC"
"227",2002-09-18,1,1,NA,1,NA,1,"2002-W37","2002-09-15 UTC--2002-09-21 UTC"
"228",2002-09-19,5,1,NA,1,NA,1,"2002-W37","2002-09-15 UTC--2002-09-21 UTC"
"229",2002-09-23,1,NA,1,1,NA,1,"2002-W38","2002-09-22 UTC--2002-09-28 UTC"
"230",2002-09-26,1,NA,1,NA,1,1,"2002-W38","2002-09-22 UTC--2002-09-28 UTC"
"231",2002-09-30,1,NA,1,NA,1,1,"2002-W39","2002-09-29 UTC--2002-10-05 UTC"
"232",2002-10-08,1,NA,1,1,NA,1,"2002-W40","2002-10-06 UTC--2002-10-12 UTC"
"233",2002-10-10,1,1,NA,1,NA,1,"2002-W40","2002-10-06 UTC--2002-10-12 UTC"
"234",2002-10-21,13,1,NA,1,NA,1,"2002-W42","2002-10-20 UTC--2002-10-26 UTC"
"235",2002-10-27,3,NA,1,1,NA,1,"2002-W43","2002-10-27 UTC--2002-11-02 UTC"
"236",2002-10-29,3,NA,1,1,NA,1,"2002-W43","2002-10-27 UTC--2002-11-02 UTC"
"237",2002-11-04,2,1,NA,1,NA,1,"2002-W44","2002-11-03 UTC--2002-11-09 UTC"
"238",2002-11-06,2,NA,1,1,NA,1,"2002-W44","2002-11-03 UTC--2002-11-09 UTC"
"239",2002-11-09,1,NA,1,NA,1,1,"2002-W44","2002-11-03 UTC--2002-11-09 UTC"
"240",2002-11-10,5,1,NA,1,NA,1,"2002-W45","2002-11-10 UTC--2002-11-16 UTC"
"241",2002-11-15,12,NA,1,1,NA,1,"2002-W45","2002-11-10 UTC--2002-11-16 UTC"
"242",2002-11-18,1,NA,1,1,NA,1,"2002-W46","2002-11-17 UTC--2002-11-23 UTC"
"243",2002-11-21,10,1,NA,1,NA,1,"2002-W46","2002-11-17 UTC--2002-11-23 UTC"
"244",2002-11-22,1,NA,1,NA,1,1,"2002-W46","2002-11-17 UTC--2002-11-23 UTC"
"245",2002-11-28,6,1,NA,1,NA,1,"2002-W47","2002-11-24 UTC--2002-11-30 UTC"
"246",2002-12-12,2,NA,1,NA,1,1,"2002-W49","2002-12-08 UTC--2002-12-14 UTC"
"247",2002-12-20,1,NA,1,1,NA,1,"2002-W50","2002-12-15 UTC--2002-12-21 UTC"
"248",2002-12-27,4,NA,1,1,NA,1,"2002-W51","2002-12-22 UTC--2002-12-28 UTC"
"249",2003-01-02,1,NA,1,1,NA,1,"2003-W00","2002-12-29 UTC--2003-01-04 UTC"
"250",2003-01-05,15,1,NA,1,NA,1,"2003-W01","2003-01-05 UTC--2003-01-11 UTC"
"251",2003-01-12,1,1,NA,1,NA,1,"2003-W02","2003-01-12 UTC--2003-01-18 UTC"
"252",2003-01-12,1,1,NA,NA,1,1,"2003-W02","2003-01-12 UTC--2003-01-18 UTC"
"253",2003-01-17,1,NA,1,1,NA,1,"2003-W02","2003-01-12 UTC--2003-01-18 UTC"
"254",2003-01-23,3,NA,1,NA,1,1,"2003-W03","2003-01-19 UTC--2003-01-25 UTC"
"255",2003-02-06,2,NA,1,NA,1,1,"2003-W05","2003-02-02 UTC--2003-02-08 UTC"
"256",2003-02-11,1,NA,1,NA,1,1,"2003-W06","2003-02-09 UTC--2003-02-15 UTC"
"257",2003-02-15,5,NA,1,NA,1,1,"2003-W06","2003-02-09 UTC--2003-02-15 UTC"
"258",2003-02-23,1,NA,1,NA,1,1,"2003-W08","2003-02-23 UTC--2003-03-01 UTC"
"259",2003-03-05,17,1,NA,1,NA,1,"2003-W09","2003-03-02 UTC--2003-03-08 UTC"
"260",2003-03-07,2,NA,1,1,NA,1,"2003-W09","2003-03-02 UTC--2003-03-08 UTC"
"261",2003-03-10,1,NA,1,NA,1,1,"2003-W10","2003-03-09 UTC--2003-03-15 UTC"
"262",2003-03-12,1,NA,1,NA,1,1,"2003-W10","2003-03-09 UTC--2003-03-15 UTC"
"263",2003-03-18,1,NA,1,NA,1,1,"2003-W11","2003-03-16 UTC--2003-03-22 UTC"
"264",2003-03-19,1,NA,1,1,NA,1,"2003-W11","2003-03-16 UTC--2003-03-22 UTC"
"265",2003-04-10,2,NA,1,NA,1,1,"2003-W14","2003-04-06 UTC--2003-04-12 UTC"
"266",2003-04-15,1,NA,1,1,NA,1,"2003-W15","2003-04-13 UTC--2003-04-19 UTC"
"267",2003-04-15,1,NA,1,NA,1,1,"2003-W15","2003-04-13 UTC--2003-04-19 UTC"
"268",2003-04-20,1,NA,1,NA,1,1,"2003-W16","2003-04-20 UTC--2003-04-26 UTC"
"269",2003-04-24,1,1,NA,1,NA,1,"2003-W16","2003-04-20 UTC--2003-04-26 UTC"
"270",2003-05-05,1,NA,1,1,NA,1,"2003-W18","2003-05-04 UTC--2003-05-10 UTC"
"271",2003-05-11,1,NA,1,1,NA,1,"2003-W19","2003-05-11 UTC--2003-05-17 UTC"
"272",2003-05-17,2,NA,1,1,NA,1,"2003-W19","2003-05-11 UTC--2003-05-17 UTC"
"273",2003-05-18,6,NA,1,1,NA,1,"2003-W20","2003-05-18 UTC--2003-05-24 UTC"
"274",2003-05-19,3,1,NA,1,NA,1,"2003-W20","2003-05-18 UTC--2003-05-24 UTC"
"275",2003-06-08,4,NA,1,NA,1,1,"2003-W23","2003-06-08 UTC--2003-06-14 UTC"
"276",2003-06-08,1,NA,1,NA,1,1,"2003-W23","2003-06-08 UTC--2003-06-14 UTC"
"277",2003-06-11,17,1,NA,1,NA,1,"2003-W23","2003-06-08 UTC--2003-06-14 UTC"
"278",2003-06-12,1,NA,1,1,NA,1,"2003-W23","2003-06-08 UTC--2003-06-14 UTC"
"279",2003-06-13,1,NA,1,NA,1,1,"2003-W23","2003-06-08 UTC--2003-06-14 UTC"
"280",2003-06-17,1,1,NA,1,NA,1,"2003-W24","2003-06-15 UTC--2003-06-21 UTC"
"281",2003-06-19,1,1,NA,1,NA,1,"2003-W24","2003-06-15 UTC--2003-06-21 UTC"
"282",2003-06-20,1,NA,1,1,NA,1,"2003-W24","2003-06-15 UTC--2003-06-21 UTC"
"283",2003-06-26,1,1,NA,1,NA,1,"2003-W25","2003-06-22 UTC--2003-06-28 UTC"
"284",2003-06-27,1,NA,1,NA,1,1,"2003-W25","2003-06-22 UTC--2003-06-28 UTC"
"285",2003-07-07,1,1,NA,1,NA,1,"2003-W27","2003-07-06 UTC--2003-07-12 UTC"
"286",2003-07-15,1,1,NA,1,NA,1,"2003-W28","2003-07-13 UTC--2003-07-19 UTC"
"287",2003-08-08,1,NA,1,NA,1,1,"2003-W31","2003-08-03 UTC--2003-08-09 UTC"
"288",2003-08-12,2,NA,1,1,NA,1,"2003-W32","2003-08-10 UTC--2003-08-16 UTC"
"289",2003-08-12,1,1,NA,1,NA,1,"2003-W32","2003-08-10 UTC--2003-08-16 UTC"
"290",2003-08-19,23,1,NA,1,NA,1,"2003-W33","2003-08-17 UTC--2003-08-23 UTC"
"291",2003-08-29,1,NA,1,1,NA,1,"2003-W34","2003-08-24 UTC--2003-08-30 UTC"
"292",2003-09-04,1,NA,1,NA,1,1,"2003-W35","2003-08-31 UTC--2003-09-06 UTC"
"293",2003-09-05,1,NA,1,NA,1,1,"2003-W35","2003-08-31 UTC--2003-09-06 UTC"
"294",2003-09-09,7,1,NA,1,NA,1,"2003-W36","2003-09-07 UTC--2003-09-13 UTC"
"295",2003-09-09,9,1,NA,1,NA,1,"2003-W36","2003-09-07 UTC--2003-09-13 UTC"
"296",2003-09-25,2,NA,1,1,NA,1,"2003-W38","2003-09-21 UTC--2003-09-27 UTC"
"297",2003-09-25,1,NA,1,NA,1,1,"2003-W38","2003-09-21 UTC--2003-09-27 UTC"
"298",2003-10-04,21,1,NA,1,NA,1,"2003-W39","2003-09-28 UTC--2003-10-04 UTC"
"299",2003-10-19,3,NA,1,NA,1,1,"2003-W42","2003-10-19 UTC--2003-10-25 UTC"
"300",2003-10-24,3,NA,1,NA,1,1,"2003-W42","2003-10-19 UTC--2003-10-25 UTC"
"301",2003-11-18,2,NA,1,NA,1,1,"2003-W46","2003-11-16 UTC--2003-11-22 UTC"
"302",2003-11-22,2,NA,1,1,NA,1,"2003-W46","2003-11-16 UTC--2003-11-22 UTC"
"303",2003-12-22,2,NA,1,NA,1,1,"2003-W51","2003-12-21 UTC--2003-12-27 UTC"
"304",2003-12-25,4,1,NA,1,NA,1,"2003-W51","2003-12-21 UTC--2003-12-27 UTC"
"305",2004-01-13,1,NA,1,1,NA,1,"2004-W02","2004-01-11 UTC--2004-01-17 UTC"
"306",2004-01-14,4,NA,1,NA,1,1,"2004-W02","2004-01-11 UTC--2004-01-17 UTC"
"307",2004-01-29,11,1,NA,1,NA,1,"2004-W04","2004-01-25 UTC--2004-01-31 UTC"
"308",2004-02-22,8,1,NA,1,NA,1,"2004-W08","2004-02-22 UTC--2004-02-28 UTC"
"309",2004-02-26,1,NA,1,NA,1,1,"2004-W08","2004-02-22 UTC--2004-02-28 UTC"
"310",2004-02-27,2,1,NA,1,NA,1,"2004-W08","2004-02-22 UTC--2004-02-28 UTC"
"311",2004-03-14,10,1,NA,1,NA,1,"2004-W11","2004-03-14 UTC--2004-03-20 UTC"
"312",2004-03-19,1,NA,1,1,NA,1,"2004-W11","2004-03-14 UTC--2004-03-20 UTC"
"313",2004-04-03,1,NA,1,1,NA,1,"2004-W13","2004-03-28 UTC--2004-04-03 UTC"
"314",2004-04-17,1,1,NA,NA,1,1,"2004-W15","2004-04-11 UTC--2004-04-17 UTC"
"315",2004-04-25,1,NA,1,NA,1,1,"2004-W17","2004-04-25 UTC--2004-05-01 UTC"
"316",2004-05-02,5,NA,1,1,NA,1,"2004-W18","2004-05-02 UTC--2004-05-08 UTC"
"317",2004-05-11,6,NA,1,NA,1,1,"2004-W19","2004-05-09 UTC--2004-05-15 UTC"
"318",2004-05-12,5,NA,1,NA,1,1,"2004-W19","2004-05-09 UTC--2004-05-15 UTC"
"319",2004-05-14,2,NA,1,NA,1,1,"2004-W19","2004-05-09 UTC--2004-05-15 UTC"
"320",2004-05-29,1,NA,1,NA,1,1,"2004-W21","2004-05-23 UTC--2004-05-29 UTC"
"321",2004-06-28,2,1,NA,1,NA,1,"2004-W26","2004-06-27 UTC--2004-07-03 UTC"
"322",2004-06-28,1,NA,1,NA,1,1,"2004-W26","2004-06-27 UTC--2004-07-03 UTC"
"323",2004-06-29,1,NA,1,1,NA,1,"2004-W26","2004-06-27 UTC--2004-07-03 UTC"
"324",2004-07-04,1,NA,1,1,NA,1,"2004-W27","2004-07-04 UTC--2004-07-10 UTC"
"325",2004-07-06,1,NA,1,NA,1,1,"2004-W27","2004-07-04 UTC--2004-07-10 UTC"
"326",2004-07-11,1,1,NA,1,NA,1,"2004-W28","2004-07-11 UTC--2004-07-17 UTC"
"327",2004-08-13,1,NA,1,1,NA,1,"2004-W32","2004-08-08 UTC--2004-08-14 UTC"
"328",2004-08-31,16,1,NA,1,NA,1,"2004-W35","2004-08-29 UTC--2004-09-04 UTC"
"329",2004-09-22,2,NA,1,1,NA,1,"2004-W38","2004-09-19 UTC--2004-09-25 UTC"
"330",2004-09-23,3,NA,1,NA,1,1,"2004-W38","2004-09-19 UTC--2004-09-25 UTC"
"331",2004-09-24,1,NA,1,1,NA,1,"2004-W38","2004-09-19 UTC--2004-09-25 UTC"
"332",2004-09-29,2,1,NA,1,NA,1,"2004-W39","2004-09-26 UTC--2004-10-02 UTC"
"333",2004-09-30,2,NA,1,1,NA,1,"2004-W39","2004-09-26 UTC--2004-10-02 UTC"
"334",2004-09-30,1,NA,1,NA,1,1,"2004-W39","2004-09-26 UTC--2004-10-02 UTC"
"335",2004-10-19,1,NA,1,NA,1,1,"2004-W42","2004-10-17 UTC--2004-10-23 UTC"
"336",2004-10-21,1,NA,1,NA,1,1,"2004-W42","2004-10-17 UTC--2004-10-23 UTC"
"337",2004-10-28,1,NA,1,NA,1,1,"2004-W43","2004-10-24 UTC--2004-10-30 UTC"
"338",2004-11-01,3,1,NA,1,NA,1,"2004-W44","2004-10-31 UTC--2004-11-06 UTC"
"339",2004-12-07,1,NA,1,1,NA,1,"2004-W49","2004-12-05 UTC--2004-12-11 UTC"
"340",2004-12-12,5,NA,1,NA,1,1,"2004-W50","2004-12-12 UTC--2004-12-18 UTC"
"341",2004-12-21,1,1,NA,1,NA,1,"2004-W51","2004-12-19 UTC--2004-12-25 UTC"
"342",2004-12-22,1,NA,1,1,NA,1,"2004-W51","2004-12-19 UTC--2004-12-25 UTC"
"343",2005-01-02,1,1,NA,1,NA,1,"2005-W01","2005-01-02 UTC--2005-01-08 UTC"
"344",2005-01-02,1,1,NA,1,NA,1,"2005-W01","2005-01-02 UTC--2005-01-08 UTC"
"345",2005-01-07,2,NA,1,1,NA,1,"2005-W01","2005-01-02 UTC--2005-01-08 UTC"
"346",2005-01-12,1,NA,1,1,NA,1,"2005-W02","2005-01-09 UTC--2005-01-15 UTC"
"347",2005-01-13,6,NA,1,1,NA,1,"2005-W02","2005-01-09 UTC--2005-01-15 UTC"
"348",2005-01-15,1,1,NA,1,NA,1,"2005-W02","2005-01-09 UTC--2005-01-15 UTC"
"349",2005-01-18,1,NA,1,1,NA,1,"2005-W03","2005-01-16 UTC--2005-01-22 UTC"
"350",2005-02-25,5,1,NA,1,NA,1,"2005-W08","2005-02-20 UTC--2005-02-26 UTC"
"351",2005-05-02,1,NA,1,NA,1,1,"2005-W18","2005-05-01 UTC--2005-05-07 UTC"
"352",2005-06-19,1,NA,1,NA,1,1,"2005-W25","2005-06-19 UTC--2005-06-25 UTC"
"353",2005-06-20,1,NA,1,1,NA,1,"2005-W25","2005-06-19 UTC--2005-06-25 UTC"
"354",2005-06-24,2,NA,1,1,NA,1,"2005-W25","2005-06-19 UTC--2005-06-25 UTC"
"355",2005-07-12,5,1,NA,1,NA,1,"2005-W28","2005-07-10 UTC--2005-07-16 UTC"
"356",2005-07-14,1,1,NA,1,NA,1,"2005-W28","2005-07-10 UTC--2005-07-16 UTC"
"357",2005-07-24,2,NA,1,1,NA,1,"2005-W30","2005-07-24 UTC--2005-07-30 UTC"
"358",2005-09-21,1,NA,1,1,NA,1,"2005-W38","2005-09-18 UTC--2005-09-24 UTC"
"359",2005-10-16,3,NA,1,1,NA,1,"2005-W42","2005-10-16 UTC--2005-10-22 UTC"
"360",2005-10-26,7,1,NA,1,NA,1,"2005-W43","2005-10-23 UTC--2005-10-29 UTC"
"361",2005-11-01,1,NA,1,NA,1,1,"2005-W44","2005-10-30 UTC--2005-11-05 UTC"
"362",2005-12-05,5,1,NA,1,NA,1,"2005-W49","2005-12-04 UTC--2005-12-10 UTC"
"363",2005-12-08,1,NA,1,NA,1,1,"2005-W49","2005-12-04 UTC--2005-12-10 UTC"
"364",2005-12-16,1,NA,1,1,NA,1,"2005-W50","2005-12-11 UTC--2005-12-17 UTC"
"365",2005-12-29,1,NA,1,1,NA,1,"2005-W52","2005-12-25 UTC--2005-12-31 UTC"
"366",2006-02-05,1,1,NA,1,NA,1,"2006-W06","2006-02-05 UTC--2006-02-11 UTC"
"367",2006-03-01,1,NA,1,1,NA,1,"2006-W09","2006-02-26 UTC--2006-03-04 UTC"
"368",2006-03-30,4,NA,1,1,NA,1,"2006-W13","2006-03-26 UTC--2006-04-01 UTC"
"369",2006-04-17,7,1,NA,1,NA,1,"2006-W16","2006-04-16 UTC--2006-04-22 UTC"
"370",2006-06-25,1,NA,1,1,NA,1,"2006-W26","2006-06-25 UTC--2006-07-01 UTC"
"371",2006-06-25,2,1,NA,NA,1,1,"2006-W26","2006-06-25 UTC--2006-07-01 UTC"
"372",2006-07-17,1,NA,1,NA,1,1,"2006-W29","2006-07-16 UTC--2006-07-22 UTC"
"373",2006-07-27,1,NA,1,1,NA,1,"2006-W30","2006-07-23 UTC--2006-07-29 UTC"
"374",2006-08-19,1,NA,1,NA,1,1,"2006-W33","2006-08-13 UTC--2006-08-19 UTC"
"375",2006-09-12,1,NA,1,NA,1,1,"2006-W37","2006-09-10 UTC--2006-09-16 UTC"
"376",2006-11-01,1,NA,1,NA,1,1,"2006-W44","2006-10-29 UTC--2006-11-04 UTC"
"377",2006-11-15,1,1,NA,1,NA,1,"2006-W46","2006-11-12 UTC--2006-11-18 UTC"
"378",2006-11-21,1,1,NA,1,NA,1,"2006-W47","2006-11-19 UTC--2006-11-25 UTC"
"379",2007-01-29,3,1,NA,1,NA,1,"2007-W04","2007-01-28 UTC--2007-02-03 UTC"
"380",2007-02-25,1,NA,1,1,NA,1,"2007-W08","2007-02-25 UTC--2007-03-03 UTC"
"381",2007-05-21,1,1,NA,1,NA,1,"2007-W20","2007-05-20 UTC--2007-05-26 UTC"
"382",2007-05-27,1,1,NA,1,NA,1,"2007-W21","2007-05-27 UTC--2007-06-02 UTC"
"383",2007-07-12,1,NA,1,NA,1,1,"2007-W27","2007-07-08 UTC--2007-07-14 UTC"
"384",2007-09-18,1,NA,1,NA,1,1,"2007-W37","2007-09-16 UTC--2007-09-22 UTC"
"385",2007-10-17,1,NA,1,NA,1,1,"2007-W41","2007-10-14 UTC--2007-10-20 UTC"
"386",2007-10-29,1,NA,1,NA,1,1,"2007-W43","2007-10-28 UTC--2007-11-03 UTC"
"387",2007-11-19,1,NA,1,1,NA,1,"2007-W46","2007-11-18 UTC--2007-11-24 UTC"
"388",2007-12-28,2,NA,1,1,NA,1,"2007-W51","2007-12-23 UTC--2007-12-29 UTC"
"389",2008-01-24,1,NA,1,NA,1,1,"2008-W03","2008-01-20 UTC--2008-01-26 UTC"
"390",2008-02-04,1,1,NA,1,NA,1,"2008-W05","2008-02-03 UTC--2008-02-09 UTC"
"391",2008-02-27,1,1,NA,1,NA,1,"2008-W08","2008-02-24 UTC--2008-03-01 UTC"
"392",2008-03-01,2,NA,1,NA,1,1,"2008-W08","2008-02-24 UTC--2008-03-01 UTC"
"393",2008-03-06,8,1,NA,1,NA,1,"2008-W09","2008-03-02 UTC--2008-03-08 UTC"
"394",2008-03-06,2,NA,1,NA,1,1,"2008-W09","2008-03-02 UTC--2008-03-08 UTC"
"395",2008-04-09,2,1,NA,1,NA,1,"2008-W14","2008-04-06 UTC--2008-04-12 UTC"
"396",2008-04-09,1,NA,1,NA,1,1,"2008-W14","2008-04-06 UTC--2008-04-12 UTC"
"397",2008-04-16,3,1,NA,NA,1,1,"2008-W15","2008-04-13 UTC--2008-04-19 UTC"
"398",2008-04-25,2,NA,1,1,NA,1,"2008-W16","2008-04-20 UTC--2008-04-26 UTC"
"399",2008-05-09,1,1,NA,1,NA,1,"2008-W18","2008-05-04 UTC--2008-05-10 UTC"
"400",2008-05-12,1,1,NA,1,NA,1,"2008-W19","2008-05-11 UTC--2008-05-17 UTC"
"401",2008-06-05,1,1,NA,1,NA,1,"2008-W22","2008-06-01 UTC--2008-06-07 UTC"
"402",2008-07-02,2,1,NA,1,NA,1,"2008-W26","2008-06-29 UTC--2008-07-05 UTC"
"403",2008-07-12,1,NA,1,NA,1,1,"2008-W27","2008-07-06 UTC--2008-07-12 UTC"
"404",2008-10-23,1,NA,1,1,NA,1,"2008-W42","2008-10-19 UTC--2008-10-25 UTC"
"405",2009-01-27,1,NA,1,NA,1,1,"2009-W04","2009-01-25 UTC--2009-01-31 UTC"
"406",2009-04-02,1,NA,1,1,NA,1,"2009-W13","2009-03-29 UTC--2009-04-04 UTC"
"407",2009-05-10,1,1,NA,1,NA,1,"2009-W19","2009-05-10 UTC--2009-05-16 UTC"
"408",2009-12-24,1,NA,1,1,NA,1,"2009-W51","2009-12-20 UTC--2009-12-26 UTC"
"409",2010-02-10,1,NA,1,NA,1,1,"2010-W06","2010-02-07 UTC--2010-02-13 UTC"
"410",2010-02-24,1,1,NA,1,NA,1,"2010-W08","2010-02-21 UTC--2010-02-27 UTC"
"411",2010-03-26,2,NA,1,NA,1,1,"2010-W12","2010-03-21 UTC--2010-03-27 UTC"
"412",2010-06-14,1,NA,1,1,NA,1,"2010-W24","2010-06-13 UTC--2010-06-19 UTC"
"413",2010-08-31,4,NA,1,1,NA,1,"2010-W35","2010-08-29 UTC--2010-09-04 UTC"
"414",2011-03-11,5,NA,1,1,NA,1,"2011-W10","2011-03-06 UTC--2011-03-12 UTC"
"415",2011-03-23,2,1,NA,1,NA,1,"2011-W12","2011-03-20 UTC--2011-03-26 UTC"
"416",2011-04-07,1,1,NA,1,NA,1,"2011-W14","2011-04-03 UTC--2011-04-09 UTC"
"417",2011-04-24,1,NA,1,1,NA,1,"2011-W17","2011-04-24 UTC--2011-04-30 UTC"
"418",2011-08-20,1,1,NA,1,NA,1,"2011-W33","2011-08-14 UTC--2011-08-20 UTC"
"419",2011-09-23,2,NA,1,1,NA,1,"2011-W38","2011-09-18 UTC--2011-09-24 UTC"
"420",2011-10-29,1,1,NA,1,NA,1,"2011-W43","2011-10-23 UTC--2011-10-29 UTC"
"421",2012-06-01,1,NA,1,NA,1,1,"2012-W22","2012-05-27 UTC--2012-06-02 UTC"
"422",2012-11-15,3,1,NA,1,NA,1,"2012-W46","2012-11-11 UTC--2012-11-17 UTC"
"423",2012-11-20,2,1,NA,1,NA,1,"2012-W47","2012-11-18 UTC--2012-11-24 UTC"
"424",2012-11-21,1,1,NA,1,NA,1,"2012-W47","2012-11-18 UTC--2012-11-24 UTC"
"425",2013-04-30,1,NA,1,1,NA,1,"2013-W17","2013-04-28 UTC--2013-05-04 UTC"
"426",2013-09-20,1,NA,1,1,NA,1,"2013-W37","2013-09-15 UTC--2013-09-21 UTC"
"427",2013-09-22,1,NA,1,NA,1,1,"2013-W38","2013-09-22 UTC--2013-09-28 UTC"
"428",2013-10-10,1,NA,1,1,NA,1,"2013-W40","2013-10-06 UTC--2013-10-12 UTC"
"429",2013-11-13,1,1,NA,1,NA,1,"2013-W45","2013-11-10 UTC--2013-11-16 UTC"
"430",2013-12-24,1,1,NA,1,NA,1,"2013-W51","2013-12-22 UTC--2013-12-28 UTC"
"431",2014-04-14,2,NA,1,1,NA,1,"2014-W15","2014-04-13 UTC--2014-04-19 UTC"
"432",2014-06-12,3,NA,1,1,NA,1,"2014-W23","2014-06-08 UTC--2014-06-14 UTC"
"433",2014-07-15,1,1,NA,1,NA,1,"2014-W28","2014-07-13 UTC--2014-07-19 UTC"
"434",2014-07-19,1,1,NA,1,NA,1,"2014-W28","2014-07-13 UTC--2014-07-19 UTC"
"435",2014-07-19,2,NA,1,NA,1,1,"2014-W28","2014-07-13 UTC--2014-07-19 UTC"
"436",2014-07-19,2,1,NA,NA,1,1,"2014-W28","2014-07-13 UTC--2014-07-19 UTC"
"437",2014-07-20,14,NA,1,NA,1,1,"2014-W29","2014-07-20 UTC--2014-07-26 UTC"
"438",2014-07-21,2,NA,1,NA,1,1,"2014-W29","2014-07-20 UTC--2014-07-26 UTC"
"439",2014-07-21,2,NA,1,NA,1,1,"2014-W29","2014-07-20 UTC--2014-07-26 UTC"
"440",2014-07-21,1,NA,1,NA,1,1,"2014-W29","2014-07-20 UTC--2014-07-26 UTC"
"441",2014-07-21,4,1,NA,NA,1,1,"2014-W29","2014-07-20 UTC--2014-07-26 UTC"
"442",2014-07-22,1,NA,1,NA,1,1,"2014-W29","2014-07-20 UTC--2014-07-26 UTC"
"443",2014-07-23,4,NA,1,NA,1,1,"2014-W29","2014-07-20 UTC--2014-07-26 UTC"
"444",2014-07-24,1,NA,1,NA,1,1,"2014-W29","2014-07-20 UTC--2014-07-26 UTC"
"445",2014-07-25,2,NA,1,NA,1,1,"2014-W29","2014-07-20 UTC--2014-07-26 UTC"
"446",2014-07-25,2,NA,1,NA,1,1,"2014-W29","2014-07-20 UTC--2014-07-26 UTC"
"447",2014-07-25,1,NA,1,NA,1,1,"2014-W29","2014-07-20 UTC--2014-07-26 UTC"
"448",2014-07-25,1,NA,1,NA,1,1,"2014-W29","2014-07-20 UTC--2014-07-26 UTC"
"449",2014-07-26,1,1,NA,NA,1,1,"2014-W29","2014-07-20 UTC--2014-07-26 UTC"
"450",2014-07-28,1,NA,1,NA,1,1,"2014-W30","2014-07-27 UTC--2014-08-02 UTC"
