"","date","number of injured","number of killed","location: IL(1) Yesha(2)","target: civilian(1) security-forces(2)","yearweek"
"115",2003-10-04,60,21,"1",1,"2003-W39"
"116",2003-10-09,2,NA,"2",2,"2003-W40"
"117",2003-10-15,1,3,"2",1,"2003-W41"
"118",2003-11-03,1,NA,"2",2,"2003-W44"
"119",2003-12-25,20,4,"1",1,"2003-W51"
"120",2004-01-14,10,4,"2",2,"2004-W02"
"121",2004-01-29,50,11,"1",1,"2004-W04"
"122",2004-02-22,60,8,"1",1,"2004-W08"
"123",2004-03-14,16,10,"1",1,"2004-W11"
"124",2004-04-17,3,1,"2",2,"2004-W15"
"125",2004-05-22,1,NA,"2",2,"2004-W20"
"126",2004-07-11,33,1,"1",1,"2004-W28"
"127",2004-08-11,18,NA,"2",2,"2004-W32"
"128",2004-08-31,100,16,"1",1,"2004-W35"
"129",2004-09-14,2,NA,"2",2,"2004-W37"
"130",2004-09-22,17,2,"1",2,"2004-W38"
"131",2004-10-07,120,12,"?",1,"2004-W40"
"132",2004-11-01,30,3,"1",1,"2004-W44"
"133",2004-12-07,4,1,"2",2,"2004-W49"
"134",2005-01-12,3,1,"2",2,"2005-W02"
"135",2005-01-13,5,6,"2",2,"2005-W02"
"136",2005-01-18,5,NA,"2",2,"2005-W03"
"137",2005-02-25,50,5,"1",1,"2005-W08"
"138",2005-07-12,90,5,"1",1,"2005-W28"
"139",2005-08-28,52,NA,"1",1,"2005-W35"
"140",2005-10-26,54,6,"1",1,"2005-W43"
"141",2005-12-05,50,5,"1",1,"2005-W49"
"142",2005-12-29,3,1,"2",2,"2005-W52"
"143",2006-01-19,13,NA,"1",1,"2006-W03"
"144",2006-03-30,NA,4,"2",1,"2006-W13"
"145",2006-04-17,60,11,"1",1,"2006-W16"
"146",2007-01-29,NA,3,"1",1,"2007-W04"
"147",2008-02-04,38,1,"1",1,"2008-W05"
"148",2008-03-06,11,8,"1",1,"2008-W09"
"149",2008-05-14,90,NA,"1",1,"2008-W19"
"150",2008-07-02,50,3,"1",1,"2008-W26"
"151",2011-03-23,50,1,"1",1,"2011-W12"
"152",2011-08-18,31,3,"1",1,"2011-W33"
"153",2012-07-18,30,6,NA,NA,"2012-W29"
"154",2012-11-21,21,NA,"1",1,"2012-W47"
"155",2015-10-11,1,NA,"2",2,"2015-W41"
"156",2016-04-19,21,NA,"1",1,"2016-W16"
