"date","date1","survey_year","oslosp","oslobl","negot_sp","negot_bl","peacesp","peacebl","gender","age","educ","relig","incom","political_spectrum"
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,1,53,3,5,7,1
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,1,61,6,5,7,4
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,2,59,3,5,4,2
2011-05-17,203.5,2011,NA,NA,4,4,NA,NA,1,35,6,5,3,3
2011-05-17,203.5,2011,NA,NA,1,1,NA,NA,1,58,6,5,5,1
2011-05-17,203.5,2011,NA,NA,1,4,NA,NA,2,80,3,5,2,2
2011-05-17,203.5,2011,NA,NA,1,4,NA,NA,1,75,3,5,2,4
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,1,37,3,5,3,1
2011-05-17,203.5,2011,NA,NA,1,4,NA,NA,1,40,6,5,5,1
2011-05-17,203.5,2011,NA,NA,3,3,NA,NA,2,35,6,5,4,3
2011-05-17,203.5,2011,NA,NA,1,1,NA,NA,1,42,6,5,1,1
2011-05-17,203.5,2011,NA,NA,1,3,NA,NA,1,35,6,5,4,2
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,2,44,4,5,4,1
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,2,67,4,5,4,1
2011-05-17,203.5,2011,NA,NA,1,3,NA,NA,1,33,6,5,4,1
2011-05-17,203.5,2011,NA,NA,3,3,NA,NA,1,33,6,5,7,4
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,2,46,6,5,3,4
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,1,54,6,5,5,1
2011-05-17,203.5,2011,NA,NA,1,1,NA,NA,1,47,3,5,4,2
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,1,69,6,5,4,2
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,2,21,3,5,7,4
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,2,40,4,5,4,4
2011-05-17,203.5,2011,NA,NA,1,3,NA,NA,2,43,6,5,4,1
2011-05-17,203.5,2011,NA,NA,3,3,NA,NA,2,44,6,5,2,3
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,2,56,2,5,3,2
2011-05-17,203.5,2011,NA,NA,4,4,NA,NA,1,37,4,5,5,1
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,1,60,4,5,4,2
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,2,57,5,5,5,2
2011-05-17,203.5,2011,NA,NA,2,2,NA,NA,2,52,3,5,5,3
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,1,60,1,5,3,2
2011-05-17,203.5,2011,NA,NA,1,3,NA,NA,1,60,3,5,3,2
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,2,65,4,5,7,1
2011-05-17,203.5,2011,NA,NA,2,2,NA,NA,1,77,4,5,2,4
2011-05-17,203.5,2011,NA,NA,2,4,NA,NA,1,57,4,5,4,3
2011-05-17,203.5,2011,NA,NA,3,4,NA,NA,1,21,3,5,4,1
2011-05-17,203.5,2011,NA,NA,2,4,NA,NA,1,66,8,5,7,4
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,2,53,4,5,4,2
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,2,40,6,5,3,1
2011-05-17,203.5,2011,NA,NA,1,3,NA,NA,1,57,6,5,5,4
2011-05-17,203.5,2011,NA,NA,1,1,NA,NA,2,48,6,5,3,2
2011-05-17,203.5,2011,NA,NA,4,4,NA,NA,2,47,6,5,2,3
2011-05-17,203.5,2011,NA,NA,1,4,NA,NA,1,69,6,5,5,1
2011-05-17,203.5,2011,NA,NA,2,4,NA,NA,1,60,6,5,3,1
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,1,42,4,5,5,2
2011-05-17,203.5,2011,NA,NA,1,5,NA,NA,1,50,3,5,3,4
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,1,61,3,5,3,2
2011-05-17,203.5,2011,NA,NA,4,4,NA,NA,1,62,6,5,5,1
2011-05-17,203.5,2011,NA,NA,2,4,NA,NA,2,50,6,5,7,1
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,2,68,6,5,4,4
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,1,24,5,5,3,4
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,2,50,6,5,4,3
2011-05-17,203.5,2011,NA,NA,3,3,NA,NA,1,64,2,5,3,4
2011-05-17,203.5,2011,NA,NA,4,4,NA,NA,1,57,4,5,4,3
2011-05-17,203.5,2011,NA,NA,1,4,NA,NA,2,53,5,5,1,1
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,2,27,6,5,3,1
2011-05-17,203.5,2011,NA,NA,1,1,NA,NA,1,61,3,5,3,4
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,1,26,6,5,2,4
2011-05-17,203.5,2011,NA,NA,1,4,NA,NA,1,70,6,5,7,2
2011-05-17,203.5,2011,NA,NA,1,3,NA,NA,1,56,6,5,5,1
2011-05-17,203.5,2011,NA,NA,1,1,NA,NA,2,67,6,5,6,1
2011-05-17,203.5,2011,NA,NA,4,4,NA,NA,2,25,6,5,1,3
2011-05-17,203.5,2011,NA,NA,2,4,NA,NA,2,43,4,5,4,2
2011-05-17,203.5,2011,NA,NA,1,4,NA,NA,2,55,6,5,5,1
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,1,51,5,5,5,2
2011-05-17,203.5,2011,NA,NA,4,4,NA,NA,1,32,6,5,5,2
2011-05-17,203.5,2011,NA,NA,1,3,NA,NA,1,44,6,5,5,4
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,1,90,4,5,4,1
2011-05-17,203.5,2011,NA,NA,1,3,NA,NA,1,61,6,5,2,4
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,2,22,5,5,7,2
2011-05-17,203.5,2011,NA,NA,2,4,NA,NA,1,45,3,5,2,4
2011-05-17,203.5,2011,NA,NA,2,2,NA,NA,2,86,4,5,3,1
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,2,60,6,5,1,4
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,2,52,6,5,7,2
2011-05-17,203.5,2011,NA,NA,1,3,NA,NA,2,51,6,5,4,1
2011-05-17,203.5,2011,NA,NA,1,3,NA,NA,1,30,6,5,1,4
2011-05-17,203.5,2011,NA,NA,2,2,NA,NA,1,50,4,5,5,3
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,1,36,8,5,5,1
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,1,62,4,5,2,3
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,1,48,2,5,2,1
2011-05-17,203.5,2011,NA,NA,4,4,NA,NA,2,52,6,5,2,1
2011-05-17,203.5,2011,NA,NA,1,1,NA,NA,2,55,4,5,3,2
2011-05-17,203.5,2011,NA,NA,1,4,NA,NA,2,43,3,5,3,2
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,1,60,4,5,5,2
2011-05-17,203.5,2011,NA,NA,1,1,NA,NA,1,58,6,5,3,1
2011-05-17,203.5,2011,NA,NA,1,4,NA,NA,1,56,6,5,3,4
2011-05-17,203.5,2011,NA,NA,1,3,NA,NA,1,59,6,5,5,2
2011-05-17,203.5,2011,NA,NA,2,4,NA,NA,1,63,3,5,4,1
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,2,60,3,5,1,2
2011-05-17,203.5,2011,NA,NA,2,2,NA,NA,1,52,6,5,4,3
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,2,58,6,5,3,2
2011-05-17,203.5,2011,NA,NA,5,3,NA,NA,1,30,3,5,3,1
2011-05-17,203.5,2011,NA,NA,2,4,NA,NA,1,67,4,5,2,3
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,2,37,6,5,3,3
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,2,47,4,5,7,3
2011-05-17,203.5,2011,NA,NA,4,4,NA,NA,1,68,3,5,4,3
2011-05-17,203.5,2011,NA,NA,1,1,NA,NA,1,66,4,5,4,4
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,2,36,6,5,3,1
2011-05-17,203.5,2011,NA,NA,1,4,NA,NA,2,74,3,5,3,2
2011-05-17,203.5,2011,NA,NA,2,2,NA,NA,2,54,6,5,4,2
2011-05-17,203.5,2011,NA,NA,2,4,NA,NA,1,53,2,5,1,4
2011-05-17,203.5,2011,NA,NA,3,4,NA,NA,2,40,6,5,4,3
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,2,54,4,5,7,1
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,2,61,3,5,7,4
2011-05-17,203.5,2011,NA,NA,2,2,NA,NA,2,52,6,5,4,3
2011-05-17,203.5,2011,NA,NA,2,2,NA,NA,2,73,4,5,3,4
2011-05-17,203.5,2011,NA,NA,1,1,NA,NA,1,45,6,5,4,2
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,2,63,6,5,4,1
2011-05-17,203.5,2011,NA,NA,1,1,NA,NA,2,58,5,5,3,4
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,1,56,4,5,4,1
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,1,60,6,5,5,1
2011-05-17,203.5,2011,NA,NA,1,3,NA,NA,2,72,6,5,5,2
2011-05-17,203.5,2011,NA,NA,1,3,NA,NA,1,42,6,5,4,2
2011-05-17,203.5,2011,NA,NA,2,2,NA,NA,1,55,3,5,5,3
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,1,28,6,5,3,3
2011-05-17,203.5,2011,NA,NA,2,2,NA,NA,2,62,6,5,5,2
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,2,53,6,5,5,4
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,1,58,6,5,5,2
2011-05-17,203.5,2011,NA,NA,1,4,NA,NA,2,24,5,5,3,3
2011-05-17,203.5,2011,NA,NA,4,2,NA,NA,1,23,3,5,3,4
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,2,67,6,5,2,2
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,2,54,6,5,5,2
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,1,35,6,5,4,2
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,2,66,4,5,2,1
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,2,46,3,5,3,2
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,2,55,5,5,3,2
2011-05-17,203.5,2011,NA,NA,1,3,NA,NA,1,37,3,5,3,1
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,2,42,6,5,5,1
2011-05-17,203.5,2011,NA,NA,1,1,NA,NA,2,40,6,5,2,1
2011-05-17,203.5,2011,NA,NA,3,3,NA,NA,1,43,6,5,4,4
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,2,59,3,5,5,2
2011-05-17,203.5,2011,NA,NA,2,2,NA,NA,2,56,6,5,4,2
2011-05-17,203.5,2011,NA,NA,1,4,NA,NA,1,39,3,5,3,4
2011-05-17,203.5,2011,NA,NA,2,4,NA,NA,1,49,2,5,4,2
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,1,26,5,5,3,2
2011-05-17,203.5,2011,NA,NA,1,3,NA,NA,1,32,6,5,4,1
2011-05-17,203.5,2011,NA,NA,2,2,NA,NA,2,50,4,5,5,4
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,2,69,6,5,2,2
2011-05-17,203.5,2011,NA,NA,1,1,NA,NA,2,999,6,5,1,2
2011-05-17,203.5,2011,NA,NA,5,4,NA,NA,2,54,5,5,7,1
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,2,23,4,5,1,3
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,2,48,4,5,5,2
2011-05-17,203.5,2011,NA,NA,2,4,NA,NA,1,27,5,5,5,3
2011-05-17,203.5,2011,NA,NA,1,4,NA,NA,1,60,6,5,4,2
2011-05-17,203.5,2011,NA,NA,2,4,NA,NA,2,75,6,5,7,3
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,1,21,3,5,1,3
2011-05-17,203.5,2011,NA,NA,2,4,NA,NA,2,20,3,5,7,4
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,1,65,6,5,5,2
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,1,65,6,5,4,3
2011-05-17,203.5,2011,NA,NA,2,4,NA,NA,1,75,6,5,2,3
2011-05-17,203.5,2011,NA,NA,2,4,NA,NA,2,75,5,5,2,4
2011-05-17,203.5,2011,NA,NA,3,4,NA,NA,2,65,6,5,2,3
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,2,65,4,5,2,4
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,1,64,6,5,4,3
2011-05-17,203.5,2011,NA,NA,2,4,NA,NA,2,53,3,5,2,3
2011-05-17,203.5,2011,NA,NA,1,3,NA,NA,2,58,6,5,2,1
2011-05-17,203.5,2011,NA,NA,3,3,NA,NA,2,60,6,5,3,4
2011-05-17,203.5,2011,NA,NA,2,4,NA,NA,1,52,4,5,4,1
2011-05-17,203.5,2011,NA,NA,2,4,NA,NA,2,50,6,5,4,NA
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,2,70,6,5,2,1
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,2,55,4,5,2,1
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,2,50,6,5,1,3
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,2,50,6,5,4,3
2011-05-17,203.5,2011,NA,NA,2,4,NA,NA,2,57,4,5,4,1
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,1,49,6,5,3,1
2011-05-17,203.5,2011,NA,NA,3,4,NA,NA,2,46,6,5,4,3
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,1,52,6,5,3,2
2011-05-17,203.5,2011,NA,NA,2,2,NA,NA,1,49,6,5,2,1
2011-05-17,203.5,2011,NA,NA,3,4,NA,NA,2,35,3,5,3,1
2011-05-17,203.5,2011,NA,NA,3,3,NA,NA,2,50,4,5,3,2
2011-05-17,203.5,2011,NA,NA,4,4,NA,NA,1,50,6,5,4,1
2011-05-17,203.5,2011,NA,NA,4,4,NA,NA,1,52,4,5,3,1
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,2,50,6,5,3,1
2011-05-17,203.5,2011,NA,NA,2,4,NA,NA,1,52,6,5,3,3
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,2,60,6,5,3,3
2011-05-17,203.5,2011,NA,NA,3,4,NA,NA,1,60,5,5,2,3
2011-05-17,203.5,2011,NA,NA,4,4,NA,NA,2,38,6,5,4,1
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,1,38,6,5,3,2
2011-05-17,203.5,2011,NA,NA,3,4,NA,NA,1,46,6,5,3,3
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,1,42,6,5,4,4
2011-05-17,203.5,2011,NA,NA,2,4,NA,NA,1,38,6,5,4,1
2011-05-17,203.5,2011,NA,NA,2,2,NA,NA,1,46,6,5,4,1
2011-05-17,203.5,2011,NA,NA,4,4,NA,NA,2,44,4,5,1,4
2011-05-17,203.5,2011,NA,NA,3,3,NA,NA,2,38,6,5,4,1
2011-05-17,203.5,2011,NA,NA,2,4,NA,NA,2,45,4,5,2,1
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,2,41,6,5,2,2
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,2,42,3,5,3,1
