yearweek,total_killed,q3,survey_date,intifada,week0ago,week1ago,week2ago,week3ago,week4ago,week5ago,week6ago,week7ago,week8ago
2003-W09,17,NA,NA,1,17,0,0,0,0,0,0,2,15
2003-W10,NA,NA,NA,1,0,17,0,0,0,0,0,0,2
2003-W11,NA,NA,NA,1,0,0,17,0,0,0,0,0,0
2003-W12,NA,NA,NA,1,0,0,0,17,0,0,0,0,0
2003-W13,NA,2.1274900398406373,2003-03-31,1,0,0,0,0,17,0,0,0,0
2003-W14,NA,NA,NA,1,0,0,0,0,0,17,0,0,0
2003-W15,NA,NA,NA,1,0,0,0,0,0,0,17,0,0
2003-W16,1,NA,NA,1,1,0,0,0,0,0,0,17,0
2003-W17,NA,1.9627450980392158,2003-04-30,1,0,1,0,0,0,0,0,0,17
2003-W18,NA,NA,NA,1,0,0,1,0,0,0,0,0,0
2003-W19,NA,NA,NA,1,0,0,0,1,0,0,0,0,0
2003-W20,3,NA,NA,1,3,0,0,0,1,0,0,0,0
2003-W21,NA,NA,2003-05-30,1,0,3,0,0,0,1,0,0,0
2003-W22,NA,NA,NA,1,0,0,3,0,0,0,1,0,0
2003-W23,17,NA,NA,1,17,0,0,3,0,0,0,1,0
2003-W24,2,NA,NA,1,2,17,0,0,3,0,0,0,1
2003-W25,1,NA,NA,1,1,2,17,0,0,3,0,0,0
2003-W26,NA,NA,2003-06-30,1,0,1,2,17,0,0,3,0,0
2003-W27,1,NA,NA,1,1,0,1,2,17,0,0,3,0
2003-W28,1,NA,NA,1,1,1,0,1,2,17,0,0,3
2003-W29,NA,NA,NA,1,0,1,1,0,1,2,17,0,0
2003-W30,NA,1.9387351778656128,2003-07-31,1,0,0,1,1,0,1,2,17,0
2003-W31,NA,NA,NA,1,0,0,0,1,1,0,1,2,17
2003-W32,1,NA,NA,1,1,0,0,0,1,1,0,1,2
2003-W33,23,NA,NA,1,23,1,0,0,0,1,1,0,1
2003-W34,NA,NA,NA,1,0,23,1,0,0,0,1,1,0
2003-W35,NA,2.150390625,2003-08-31,1,0,0,23,1,0,0,0,1,1
2003-W36,16,NA,NA,1,16,0,0,23,1,0,0,0,1
2003-W37,NA,NA,NA,1,0,16,0,0,23,1,0,0,0
2003-W38,NA,NA,NA,1,0,0,16,0,0,23,1,0,0
2003-W39,21,2.087548638132296,2003-09-30,1,21,0,0,16,0,0,23,1,0
2003-W40,NA,NA,NA,1,0,21,0,0,16,0,0,23,1
2003-W41,NA,NA,NA,1,0,0,21,0,0,16,0,0,23
2003-W42,NA,NA,NA,1,0,0,0,21,0,0,16,0,0
2003-W43,NA,2.0357142857142856,2003-10-30,1,0,0,0,0,21,0,0,16,0
2003-W44,NA,NA,NA,1,0,0,0,0,0,21,0,0,16
2003-W45,NA,NA,NA,1,0,0,0,0,0,0,21,0,0
2003-W46,NA,NA,NA,1,0,0,0,0,0,0,0,21,0
2003-W47,NA,NA,NA,1,0,0,0,0,0,0,0,0,21
2003-W48,NA,1.8806262230919764,2003-11-30,1,0,0,0,0,0,0,0,0,0
2003-W49,NA,NA,NA,1,0,0,0,0,0,0,0,0,0
2003-W50,NA,NA,NA,1,0,0,0,0,0,0,0,0,0
2003-W51,4,NA,NA,1,4,0,0,0,0,0,0,0,0
2003-W52,NA,2.0157170923379173,2003-12-31,1,0,4,0,0,0,0,0,0,0
2004-W00,NA,NA,NA,1,0,0,4,0,0,0,0,0,0
2004-W01,NA,NA,NA,1,0,0,0,4,0,0,0,0,0
2004-W02,NA,NA,NA,1,0,0,0,0,4,0,0,0,0
2004-W03,NA,NA,NA,1,0,0,0,0,0,4,0,0,0
2004-W04,11,1.9423459244532804,2004-01-29,1,11,0,0,0,0,0,4,0,0
2004-W05,NA,NA,NA,1,0,11,0,0,0,0,0,4,0
2004-W06,NA,NA,NA,1,0,0,11,0,0,0,0,0,4
2004-W07,NA,NA,NA,1,0,0,0,11,0,0,0,0,0
2004-W08,10,NA,NA,1,10,0,0,0,11,0,0,0,0
2004-W09,NA,2.1215686274509804,2004-02-29,1,0,10,0,0,0,11,0,0,0
2004-W10,NA,NA,NA,1,0,0,10,0,0,0,11,0,0
2004-W11,10,NA,NA,1,10,0,0,10,0,0,0,11,0
2004-W12,NA,NA,NA,1,0,10,0,0,10,0,0,0,11
2004-W13,NA,2.1185770750988144,2004-03-31,1,0,0,10,0,0,10,0,0,0
2004-W14,NA,NA,NA,1,0,0,0,10,0,0,10,0,0
2004-W15,1,NA,NA,1,1,0,0,0,10,0,0,10,0
2004-W16,NA,NA,NA,1,0,1,0,0,0,10,0,0,10
2004-W17,NA,2.1372549019607843,2004-04-30,1,0,0,1,0,0,0,10,0,0
2004-W18,NA,NA,NA,1,0,0,0,1,0,0,0,10,0
2004-W19,NA,NA,NA,1,0,0,0,0,1,0,0,0,10
2004-W20,NA,NA,NA,1,0,0,0,0,0,1,0,0,0
2004-W21,NA,NA,NA,1,0,0,0,0,0,0,1,0,0
2004-W22,NA,1.9865125240847785,2004-05-31,1,0,0,0,0,0,0,0,1,0
2004-W23,NA,NA,NA,1,0,0,0,0,0,0,0,0,1
2004-W24,NA,NA,NA,1,0,0,0,0,0,0,0,0,0
2004-W25,NA,NA,NA,1,0,0,0,0,0,0,0,0,0
2004-W26,2,1.9666011787819253,2004-06-30,1,2,0,0,0,0,0,0,0,0
2004-W27,NA,NA,NA,1,0,2,0,0,0,0,0,0,0
2004-W28,1,NA,NA,1,1,0,2,0,0,0,0,0,0
2004-W29,NA,NA,NA,1,0,1,0,2,0,0,0,0,0
2004-W30,NA,2.1861386138613863,2004-07-31,1,0,0,1,0,2,0,0,0,0
2004-W31,NA,NA,NA,1,0,0,0,1,0,2,0,0,0
2004-W32,NA,NA,NA,1,0,0,0,0,1,0,2,0,0
2004-W33,NA,NA,NA,1,0,0,0,0,0,1,0,2,0
2004-W34,NA,NA,NA,1,0,0,0,0,0,0,1,0,2
2004-W35,16,2.0416666666666665,2004-08-31,1,16,0,0,0,0,0,0,1,0
2004-W36,NA,NA,NA,1,0,16,0,0,0,0,0,0,1
2004-W37,NA,NA,NA,1,0,0,16,0,0,0,0,0,0
2004-W38,NA,NA,NA,1,0,0,0,16,0,0,0,0,0
2004-W39,2,2.007575757575758,2004-09-28,1,2,0,0,0,16,0,0,0,0
2004-W40,NA,NA,NA,1,0,2,0,0,0,16,0,0,0
2004-W41,NA,NA,NA,1,0,0,2,0,0,0,16,0,0
2004-W42,NA,NA,NA,1,0,0,0,2,0,0,0,16,0
2004-W43,NA,2.0039447731755424,2004-10-30,1,0,0,0,0,2,0,0,0,16
2004-W44,3,NA,NA,1,3,0,0,0,0,2,0,0,0
2004-W45,NA,NA,NA,1,0,3,0,0,0,0,2,0,0
2004-W46,NA,NA,NA,1,0,0,3,0,0,0,0,2,0
2004-W47,NA,NA,NA,1,0,0,0,3,0,0,0,0,2
2004-W48,NA,1.927450980392157,2004-11-30,1,0,0,0,0,3,0,0,0,0
2004-W49,NA,NA,NA,1,0,0,0,0,0,3,0,0,0
2004-W50,NA,NA,NA,1,0,0,0,0,0,0,3,0,0
2004-W51,1,NA,NA,1,1,0,0,0,0,0,0,3,0
2004-W52,NA,1.8786127167630058,2004-12-29,1,0,1,0,0,0,0,0,0,3
2005-W00,NA,NA,NA,1,0,0,1,0,0,0,0,0,0
2005-W01,2,NA,NA,1,2,0,0,1,0,0,0,0,0
2005-W02,1,NA,NA,1,1,2,0,0,1,0,0,0,0
2005-W03,NA,NA,NA,1,0,1,2,0,0,1,0,0,0
