"date","date1","survey_year","oslosp","oslobl","negot_sp","negot_bl","peacesp","peacebl","gender","age","age_range","educ","political_spectrum","relig","incom"
2018-01-30,282,2018,NA,NA,1,1,NA,NA,1,NA,3,5,11,4,1
2018-01-30,282,2018,NA,NA,3,4,NA,NA,1,NA,3,5,5,4,5
2018-01-30,282,2018,NA,NA,4,4,NA,NA,1,NA,2,9,10,5,6
2018-01-30,282,2018,NA,NA,2,4,NA,NA,1,NA,3,5,5,3,3
2018-01-30,282,2018,NA,NA,1,2,NA,NA,2,NA,3,5,6,1,2
2018-01-30,282,2018,NA,NA,4,4,NA,NA,1,NA,4,6,5,4,4
2018-01-30,282,2018,NA,NA,3,3,NA,NA,1,NA,4,5,2,4,3
2018-01-30,282,2018,NA,NA,2,3,NA,NA,1,NA,4,5,5,4,4
2018-01-30,282,2018,NA,NA,2,3,NA,NA,2,NA,4,5,2,1,4
2018-01-30,282,2018,NA,NA,2,3,NA,NA,1,NA,2,3,2,2,1
