"date","date1","survey_year","oslosp","oslobl","negot_sp","negot_bl","peacesp","peacebl","gender","age","educ","relig","incom","political_spectrum"
2012-11-29,220.5,2012,NA,NA,2,2,NA,NA,2,38,3,3,2,1
2012-11-29,220.5,2012,NA,NA,5,4,NA,NA,1,63,3,5,1,3
2012-11-29,220.5,2012,NA,NA,4,4,NA,NA,2,50,4,1,1,2
2012-11-29,220.5,2012,NA,NA,1,5,NA,NA,2,65,6,5,5,2
2012-11-29,220.5,2012,NA,NA,2,4,NA,NA,1,76,6,4,2,1
2012-11-29,220.5,2012,NA,NA,2,3,NA,NA,1,61,6,5,4,1
2012-11-29,220.5,2012,NA,NA,4,4,NA,NA,1,27,7,1,2,3
2012-11-29,220.5,2012,NA,NA,1,2,NA,NA,2,23,4,5,3,2
2012-11-29,220.5,2012,NA,NA,4,4,NA,NA,2,35,6,2,4,1
2012-11-29,220.5,2012,NA,NA,4,4,NA,NA,2,31,4,1,3,1
2012-11-29,220.5,2012,NA,NA,2,3,NA,NA,1,68,2,5,2,3
2012-11-29,220.5,2012,NA,NA,2,3,NA,NA,2,50,3,4,3,3
2012-11-29,220.5,2012,NA,NA,1,3,NA,NA,1,48,6,5,5,2
2012-11-29,220.5,2012,NA,NA,2,3,NA,NA,1,73,6,4,3,3
2012-11-29,220.5,2012,NA,NA,2,3,NA,NA,1,22,3,5,4,1
2012-11-29,220.5,2012,NA,NA,2,4,NA,NA,2,48,3,4,3,1
2012-11-29,220.5,2012,NA,NA,1,1,NA,NA,1,39,6,5,4,2
2012-11-29,220.5,2012,NA,NA,1,4,NA,NA,2,80,2,3,1,3
2012-11-29,220.5,2012,NA,NA,1,4,NA,NA,2,73,3,4,7,3
2012-11-29,220.5,2012,NA,NA,1,3,NA,NA,2,42,3,3,4,1
2012-11-29,220.5,2012,NA,NA,2,2,NA,NA,2,46,6,4,1,2
2012-11-29,220.5,2012,NA,NA,2,2,NA,NA,1,77,7,1,3,1
2012-11-29,220.5,2012,NA,NA,1,2,NA,NA,2,63,3,4,1,3
2012-11-29,220.5,2012,NA,NA,1,1,NA,NA,1,78,6,5,4,2
2012-11-29,220.5,2012,NA,NA,4,4,NA,NA,2,33,4,1,1,1
2012-11-29,220.5,2012,NA,NA,1,1,NA,NA,2,50,6,4,4,3
2012-11-29,220.5,2012,NA,NA,3,4,NA,NA,1,29,5,3,2,1
