"","yearweek","total_killed","q1","q2","date","week0ago","week1ago","week2ago","week3ago","week4ago"
"94","2002-W25",NA,NA,NA,NA,0,19,1,17,2
"95","2002-W26",NA,3.23552894211577,3.66467065868263,2002-06-30,0,0,19,1,17
"96","2002-W27",NA,NA,NA,NA,0,0,0,19,1
"97","2002-W28",2,NA,NA,NA,2,0,0,0,19
"98","2002-W29",NA,NA,NA,NA,0,2,0,0,0
"99","2002-W30",5,3.16699410609037,3.83693516699411,2002-07-31,5,0,2,0,0
"100","2002-W31",7,NA,NA,NA,7,5,0,2,0
"101","2002-W32",NA,NA,NA,NA,0,7,5,0,2
"102","2002-W33",NA,NA,NA,NA,0,0,7,5,0
"103","2002-W34",NA,3.20736434108527,3.80038759689922,2002-08-31,0,0,0,7,5
"104","2002-W35",NA,NA,NA,NA,0,0,0,0,7
"105","2002-W36",NA,NA,NA,NA,0,0,0,0,0
"106","2002-W37",6,NA,NA,NA,6,0,0,0,0
"107","2002-W38",NA,NA,NA,NA,0,6,0,0,0
"108","2002-W39",NA,3.06769825918762,3.65957446808511,2002-09-30,0,0,6,0,0
"109","2002-W40",1,NA,NA,NA,1,0,0,6,0
"110","2002-W41",NA,NA,NA,NA,0,1,0,0,6
"111","2002-W42",13,NA,NA,NA,13,0,1,0,0
"112","2002-W43",NA,2.99407114624506,3.67193675889328,2002-10-30,0,13,0,1,0
"113","2002-W44",2,NA,NA,NA,2,0,13,0,1
"114","2002-W45",5,NA,NA,NA,5,2,0,13,0
"115","2002-W46",10,NA,NA,NA,10,5,2,0,13
"116","2002-W47",6,3.1573896353167,3.71017274472169,2002-11-30,6,10,5,2,0
"117","2002-W48",NA,NA,NA,NA,0,6,10,5,2
"118","2002-W49",NA,NA,NA,NA,0,0,6,10,5
"119","2002-W50",NA,NA,NA,NA,0,0,0,6,10
"120","2002-W51",NA,NA,NA,NA,0,0,0,0,6
"121","2002-W52",NA,3.14455445544554,3.75049504950495,2002-12-31,0,0,0,0,0
"122","2003-W00",NA,NA,NA,NA,0,0,0,0,0
"123","2003-W01",15,NA,NA,NA,15,0,0,0,0
"124","2003-W02",2,NA,NA,NA,2,15,0,0,0
"125","2003-W03",NA,NA,NA,NA,0,2,15,0,0
"126","2003-W04",NA,3.23459244532803,3.69582504970179,2003-01-31,0,0,2,15,0
"127","2003-W05",NA,NA,NA,NA,0,0,0,2,15
"128","2003-W06",NA,NA,NA,NA,0,0,0,0,2
"129","2003-W07",NA,NA,NA,NA,0,0,0,0,0
"130","2003-W08",NA,3.05928853754941,3.60671936758893,2003-02-28,0,0,0,0,0
"131","2003-W09",17,NA,NA,NA,17,0,0,0,0
"132","2003-W10",NA,NA,NA,NA,0,17,0,0,0
"133","2003-W11",NA,NA,NA,NA,0,0,17,0,0
"134","2003-W12",NA,NA,NA,NA,0,0,0,17,0
"135","2003-W13",NA,3.17330677290837,3.81075697211155,2003-03-31,0,0,0,0,17
"136","2003-W14",NA,NA,NA,NA,0,0,0,0,0
"137","2003-W15",NA,NA,NA,NA,0,0,0,0,0
"138","2003-W16",1,NA,NA,NA,1,0,0,0,0
"139","2003-W17",NA,3.05098039215686,3.6,2003-04-30,0,1,0,0,0
"140","2003-W18",NA,NA,NA,NA,0,0,1,0,0
"141","2003-W19",NA,NA,NA,NA,0,0,0,1,0
"142","2003-W20",3,NA,NA,NA,3,0,0,0,1
"143","2003-W21",NA,3.13717693836978,3.56858846918489,2003-05-30,0,3,0,0,0
"144","2003-W22",NA,NA,NA,NA,0,0,3,0,0
"145","2003-W23",17,NA,NA,NA,17,0,0,3,0
"146","2003-W24",2,NA,NA,NA,2,17,0,0,3
"147","2003-W25",1,NA,NA,NA,1,2,17,0,0
"148","2003-W26",NA,2.87225548902196,3.50898203592814,2003-06-30,0,1,2,17,0
"149","2003-W27",1,NA,NA,NA,1,0,1,2,17
"150","2003-W28",1,NA,NA,NA,1,1,0,1,2
"151","2003-W29",NA,NA,NA,NA,0,1,1,0,1
"152","2003-W30",NA,3.00197628458498,3.45059288537549,2003-07-31,0,0,1,1,0
"153","2003-W31",NA,NA,NA,NA,0,0,0,1,1
"154","2003-W32",1,NA,NA,NA,1,0,0,0,1
"155","2003-W33",23,NA,NA,NA,23,1,0,0,0
"156","2003-W34",NA,NA,NA,NA,0,23,1,0,0
"157","2003-W35",NA,3.171875,3.9375,2003-08-31,0,0,23,1,0
"158","2003-W36",16,NA,NA,NA,16,0,0,23,1
"159","2003-W37",NA,NA,NA,NA,0,16,0,0,23
"160","2003-W38",NA,NA,NA,NA,0,0,16,0,0
"161","2003-W39",21,3.0408560311284,3.77821011673152,2003-09-30,21,0,0,16,0
"162","2003-W40",NA,NA,NA,NA,0,21,0,0,16
"163","2003-W41",NA,NA,NA,NA,0,0,21,0,0
"164","2003-W42",NA,NA,NA,NA,0,0,0,21,0
"165","2003-W43",NA,3.1984126984127,3.76388888888889,2003-10-30,0,0,0,0,21
"166","2003-W44",NA,NA,NA,NA,0,0,0,0,0
"167","2003-W45",NA,NA,NA,NA,0,0,0,0,0
"168","2003-W46",NA,NA,NA,NA,0,0,0,0,0
"169","2003-W47",NA,NA,NA,NA,0,0,0,0,0
"170","2003-W48",NA,2.94911937377691,3.72602739726027,2003-11-30,0,0,0,0,0
"171","2003-W49",NA,NA,NA,NA,0,0,0,0,0
"172","2003-W50",NA,NA,NA,NA,0,0,0,0,0
"173","2003-W51",4,NA,NA,NA,4,0,0,0,0
"174","2003-W52",NA,3.13948919449902,3.69548133595285,2003-12-31,0,4,0,0,0
"175","2004-W00",NA,NA,NA,NA,0,0,4,0,0
"176","2004-W01",NA,NA,NA,NA,0,0,0,4,0
"177","2004-W02",NA,NA,NA,NA,0,0,0,0,4
"178","2004-W03",NA,NA,NA,NA,0,0,0,0,0
"179","2004-W04",11,2.98807157057654,3.779324055666,2004-01-29,11,0,0,0,0
"180","2004-W05",NA,NA,NA,NA,0,11,0,0,0
"181","2004-W06",NA,NA,NA,NA,0,0,11,0,0
"182","2004-W07",NA,NA,NA,NA,0,0,0,11,0
"183","2004-W08",10,NA,NA,NA,10,0,0,0,11
"184","2004-W09",NA,3.14705882352941,3.84705882352941,2004-02-29,0,10,0,0,0
"185","2004-W10",NA,NA,NA,NA,0,0,10,0,0
"186","2004-W11",10,NA,NA,NA,10,0,0,10,0
"187","2004-W12",NA,NA,NA,NA,0,10,0,0,10
"188","2004-W13",NA,2.98616600790514,3.72727272727273,2004-03-31,0,0,10,0,0
"189","2004-W14",NA,NA,NA,NA,0,0,0,10,0
"190","2004-W15",1,NA,NA,NA,1,0,0,0,10
"191","2004-W16",NA,NA,NA,NA,0,1,0,0,0
"192","2004-W17",NA,3.06862745098039,3.76078431372549,2004-04-30,0,0,1,0,0
"193","2004-W18",NA,NA,NA,NA,0,0,0,1,0
"194","2004-W19",NA,NA,NA,NA,0,0,0,0,1
"195","2004-W20",NA,NA,NA,NA,0,0,0,0,0
"196","2004-W21",NA,NA,NA,NA,0,0,0,0,0
"197","2004-W22",NA,2.88824662813102,3.59922928709056,2004-05-31,0,0,0,0,0
"198","2004-W23",NA,NA,NA,NA,0,0,0,0,0
"199","2004-W24",NA,NA,NA,NA,0,0,0,0,0
"200","2004-W25",NA,NA,NA,NA,0,0,0,0,0
"201","2004-W26",2,2.83889980353635,3.54616895874263,2004-06-30,2,0,0,0,0
"202","2004-W27",NA,NA,NA,NA,0,2,0,0,0
"203","2004-W28",1,NA,NA,NA,1,0,2,0,0
"204","2004-W29",NA,NA,NA,NA,0,1,0,2,0
"205","2004-W30",NA,3.13069306930693,3.73465346534653,2004-07-31,0,0,1,0,2
"206","2004-W31",NA,NA,NA,NA,0,0,0,1,0
"207","2004-W32",NA,NA,NA,NA,0,0,0,0,1
"208","2004-W33",NA,NA,NA,NA,0,0,0,0,0
"209","2004-W34",NA,NA,NA,NA,0,0,0,0,0
"210","2004-W35",16,2.9265873015873,3.6031746031746,2004-08-31,16,0,0,0,0
"211","2004-W36",NA,NA,NA,NA,0,16,0,0,0
"212","2004-W37",NA,NA,NA,NA,0,0,16,0,0
"213","2004-W38",NA,NA,NA,NA,0,0,0,16,0
"214","2004-W39",2,2.87121212121212,3.57954545454545,2004-09-28,2,0,0,0,16
"215","2004-W40",NA,NA,NA,NA,0,2,0,0,0
"216","2004-W41",NA,NA,NA,NA,0,0,2,0,0
"217","2004-W42",NA,NA,NA,NA,0,0,0,2,0
"218","2004-W43",NA,2.96646942800789,3.59960552268245,2004-10-30,0,0,0,0,2
"219","2004-W44",3,NA,NA,NA,3,0,0,0,0
"220","2004-W45",NA,NA,NA,NA,0,3,0,0,0
"221","2004-W46",NA,NA,NA,NA,0,0,3,0,0
"222","2004-W47",NA,NA,NA,NA,0,0,0,3,0
"223","2004-W48",NA,3.02549019607843,3.62156862745098,2004-11-30,0,0,0,0,3
"224","2004-W49",NA,NA,NA,NA,0,0,0,0,0
"225","2004-W50",NA,NA,NA,NA,0,0,0,0,0
"226","2004-W51",1,NA,NA,NA,1,0,0,0,0
"227","2004-W52",NA,2.8150289017341,3.51637764932563,2004-12-29,0,1,0,0,0
"228","2005-W00",NA,NA,NA,NA,0,0,1,0,0
"229","2005-W01",2,NA,NA,NA,2,0,0,1,0
"230","2005-W02",1,NA,NA,NA,1,2,0,0,1
"231","2005-W03",NA,NA,NA,NA,0,1,2,0,0
"232","2005-W04",NA,NA,NA,NA,0,0,1,2,0
"233","2005-W05",NA,2.75590551181102,3.27952755905512,2005-01-31,0,0,0,1,2
"234","2005-W06",NA,NA,NA,NA,0,0,0,0,1
"235","2005-W07",NA,NA,NA,NA,0,0,0,0,0
"236","2005-W08",5,NA,NA,NA,5,0,0,0,0
"237","2005-W09",NA,2.76771653543307,3.29527559055118,2005-02-27,0,5,0,0,0
"238","2005-W10",NA,NA,NA,NA,0,0,5,0,0
"239","2005-W11",NA,NA,NA,NA,0,0,0,5,0
"240","2005-W12",NA,NA,NA,NA,0,0,0,0,5
"241","2005-W13",NA,2.73385518590998,3.3307240704501,2005-03-31,0,0,0,0,0
"242","2005-W14",NA,NA,NA,NA,0,0,0,0,0
"243","2005-W15",NA,NA,NA,NA,0,0,0,0,0
"244","2005-W16",NA,NA,NA,NA,0,0,0,0,0
"245","2005-W17",NA,2.82248520710059,3.33727810650888,2005-04-30,0,0,0,0,0
"246","2005-W18",NA,NA,NA,NA,0,0,0,0,0
"247","2005-W19",NA,NA,NA,NA,0,0,0,0,0
"248","2005-W20",NA,NA,NA,NA,0,0,0,0,0
"249","2005-W21",NA,NA,NA,NA,0,0,0,0,0
"250","2005-W22",NA,2.78543307086614,3.35826771653543,2005-05-31,0,0,0,0,0
"251","2005-W23",NA,NA,NA,NA,0,0,0,0,0
"252","2005-W24",NA,NA,NA,NA,0,0,0,0,0
"253","2005-W25",NA,NA,NA,NA,0,0,0,0,0
"254","2005-W26",NA,2.82270916334661,3.47211155378486,2005-06-30,0,0,0,0,0
"255","2005-W27",NA,NA,NA,NA,0,0,0,0,0
"256","2005-W28",6,NA,NA,NA,6,0,0,0,0
"257","2005-W29",NA,NA,NA,NA,0,6,0,0,0
"258","2005-W30",NA,NA,NA,NA,0,0,6,0,0
"259","2005-W31",NA,2.82178217821782,3.63960396039604,2005-07-31,0,0,0,6,0
"260","2005-W32",NA,NA,NA,NA,0,0,0,0,6
"261","2005-W33",NA,NA,NA,NA,0,0,0,0,0
"262","2005-W34",NA,NA,NA,NA,0,0,0,0,0
"263","2005-W35",NA,2.84752475247525,3.54257425742574,2005-08-31,0,0,0,0,0
"264","2005-W36",NA,NA,NA,NA,0,0,0,0,0
"265","2005-W37",NA,NA,NA,NA,0,0,0,0,0
"266","2005-W38",NA,NA,NA,NA,0,0,0,0,0
"267","2005-W39",NA,2.7843137254902,3.47254901960784,2005-09-29,0,0,0,0,0
"268","2005-W40",NA,NA,NA,NA,0,0,0,0,0
"269","2005-W41",NA,NA,NA,NA,0,0,0,0,0
"270","2005-W42",NA,NA,NA,NA,0,0,0,0,0
"271","2005-W43",7,NA,NA,NA,7,0,0,0,0
"272","2005-W44",NA,2.70097087378641,3.56893203883495,2005-10-31,0,7,0,0,0
"273","2005-W45",NA,NA,NA,NA,0,0,7,0,0
"274","2005-W46",NA,NA,NA,NA,0,0,0,7,0
"275","2005-W47",NA,NA,NA,NA,0,0,0,0,7
"276","2005-W48",NA,NA,NA,NA,0,0,0,0,0
"277","2005-W49",5,NA,NA,NA,5,0,0,0,0
"278","2005-W50",NA,NA,NA,NA,0,5,0,0,0
"279","2005-W51",NA,NA,NA,NA,0,0,5,0,0
"280","2005-W52",NA,2.72924901185771,3.29644268774704,2005-12-28,0,0,0,5,0
"281","2006-W01",NA,NA,NA,NA,0,0,0,0,5
"282","2006-W02",NA,NA,NA,NA,0,0,0,0,0
"283","2006-W03",NA,NA,NA,NA,0,0,0,0,0
"284","2006-W04",NA,NA,NA,NA,0,0,0,0,0
"285","2006-W05",NA,2.82156862745098,3.42156862745098,2006-01-31,0,0,0,0,0
"286","2006-W06",1,NA,NA,NA,1,0,0,0,0
"287","2006-W07",NA,NA,NA,NA,0,1,0,0,0
"288","2006-W08",NA,NA,NA,NA,0,0,1,0,0
"289","2006-W09",NA,2.87425149700599,3.55089820359281,2006-02-28,0,0,0,1,0
"290","2006-W10",NA,NA,NA,NA,0,0,0,0,1
"291","2006-W11",NA,NA,NA,NA,0,0,0,0,0
"292","2006-W12",NA,NA,NA,NA,0,0,0,0,0
"293","2006-W13",NA,2.71259842519685,3.48425196850394,2006-03-31,0,0,0,0,0
"294","2006-W14",NA,NA,NA,NA,0,0,0,0,0
"295","2006-W15",NA,NA,NA,NA,0,0,0,0,0
"296","2006-W16",7,NA,NA,NA,7,0,0,0,0
"297","2006-W17",NA,NA,NA,NA,0,7,0,0,0
"298","2006-W18",NA,2.91434262948207,3.5996015936255,2006-04-30,0,0,7,0,0
"299","2006-W19",NA,NA,NA,NA,0,0,0,7,0
"300","2006-W20",NA,NA,NA,NA,0,0,0,0,7
"301","2006-W21",NA,NA,NA,NA,0,0,0,0,0
"302","2006-W22",NA,2.82514734774067,3.70137524557957,2006-05-31,0,0,0,0,0
"303","2006-W23",NA,NA,NA,NA,0,0,0,0,0
"304","2006-W24",NA,NA,NA,NA,0,0,0,0,0
"305","2006-W25",NA,NA,NA,NA,0,0,0,0,0
"306","2006-W26",2,3.1003937007874,3.81692913385827,2006-06-30,2,0,0,0,0
"307","2006-W27",NA,NA,NA,NA,0,2,0,0,0
"308","2006-W28",NA,NA,NA,NA,0,0,2,0,0
"309","2006-W29",NA,NA,NA,NA,0,0,0,2,0
"310","2006-W30",NA,NA,NA,NA,0,0,0,0,2
"311","2006-W31",NA,0,0,2006-07-31,0,0,0,0,0
"312","2006-W32",NA,NA,NA,NA,0,0,0,0,0
"313","2006-W33",NA,NA,NA,NA,0,0,0,0,0
"314","2006-W34",NA,NA,NA,NA,0,0,0,0,0
"315","2006-W35",NA,0,0,2006-08-31,0,0,0,0,0
"316","2006-W36",NA,NA,NA,NA,0,0,0,0,0
"317","2006-W37",NA,NA,NA,NA,0,0,0,0,0
"318","2006-W38",NA,NA,NA,NA,0,0,0,0,0
"319","2006-W39",NA,2.87428571428571,3.81333333333333,2006-09-26,0,0,0,0,0
"320","2006-W40",NA,NA,NA,NA,0,0,0,0,0
"321","2006-W41",NA,NA,NA,NA,0,0,0,0,0
"322","2006-W42",NA,NA,NA,NA,0,0,0,0,0
"323","2006-W43",NA,NA,NA,NA,0,0,0,0,0
"324","2006-W44",NA,2.94939271255061,3.59109311740891,2006-10-31,0,0,0,0,0
"325","2006-W45",NA,NA,NA,NA,0,0,0,0,0
"326","2006-W46",1,NA,NA,NA,1,0,0,0,0
"327","2006-W47",1,NA,NA,NA,1,1,0,0,0
"328","2006-W48",NA,2.75739644970414,3.68047337278106,2006-11-30,0,1,1,0,0
"329","2006-W49",NA,NA,NA,NA,0,0,1,1,0
"330","2006-W50",NA,NA,NA,NA,0,0,0,1,1
"331","2006-W51",NA,NA,NA,NA,0,0,0,0,1
"332","2006-W52",NA,2.90163934426229,3.66803278688525,2006-12-30,0,0,0,0,0
"333","2006-W53",NA,NA,NA,NA,0,0,0,0,0
"334","2007-W00",NA,NA,NA,NA,0,0,0,0,0
"335","2007-W01",NA,NA,NA,NA,0,0,0,0,0
"336","2007-W02",NA,NA,NA,NA,0,0,0,0,0
"337","2007-W03",NA,NA,NA,NA,0,0,0,0,0
"338","2007-W04",3,2.74658869395711,3.57699805068226,2007-01-31,3,0,0,0,0
"339","2007-W05",NA,NA,NA,NA,0,3,0,0,0
"340","2007-W06",NA,NA,NA,NA,0,0,3,0,0
"341","2007-W07",NA,NA,NA,NA,0,0,0,3,0
"342","2007-W08",NA,2.63492063492063,3.64285714285714,2007-02-28,0,0,0,0,3
"343","2007-W09",NA,NA,NA,NA,0,0,0,0,0
"344","2007-W10",NA,NA,NA,NA,0,0,0,0,0
"345","2007-W11",NA,NA,NA,NA,0,0,0,0,0
"346","2007-W12",NA,2.52156862745098,3.47450980392157,2007-03-28,0,0,0,0,0
"347","2007-W13",NA,NA,NA,NA,0,0,0,0,0
"348","2007-W14",NA,NA,NA,NA,0,0,0,0,0
"349","2007-W15",NA,NA,NA,NA,0,0,0,0,0
"350","2007-W16",NA,NA,NA,NA,0,0,0,0,0
"351","2007-W17",NA,2.66851851851852,3.56296296296296,2007-04-30,0,0,0,0,0
"352","2007-W18",NA,NA,NA,NA,0,0,0,0,0
"353","2007-W19",NA,NA,NA,NA,0,0,0,0,0
"354","2007-W20",1,NA,NA,NA,1,0,0,0,0
"355","2007-W21",1,2.859375,3.7578125,2007-05-31,1,1,0,0,0
"356","2007-W22",NA,NA,NA,NA,0,1,1,0,0
"357","2007-W23",NA,NA,NA,NA,0,0,1,1,0
"358","2007-W24",NA,NA,NA,NA,0,0,0,1,1
"359","2007-W25",NA,2.85770750988142,3.68181818181818,2007-06-30,0,0,0,0,1
"360","2007-W26",NA,NA,NA,NA,0,0,0,0,0
"361","2007-W27",NA,NA,NA,NA,0,0,0,0,0
"362","2007-W28",NA,NA,NA,NA,0,0,0,0,0
"363","2007-W29",NA,NA,NA,NA,0,0,0,0,0
"364","2007-W30",NA,2.96070726915521,3.68369351669941,2007-07-31,0,0,0,0,0
"365","2007-W31",NA,NA,NA,NA,0,0,0,0,0
"366","2007-W32",NA,NA,NA,NA,0,0,0,0,0
