"household_questionnaire_id","time_to_irrigate_1_katha__p_1","district","year","p1_s","p2_s","p3_s","p1_m","p2_m","p3_m","p1_w","p2_w","p3_w","p123_s","p123_m","p123_w","p123_year","TreatmentControl","TC"
"T304807087",60,1,2019,32,NA,NA,NA,NA,NA,60,NA,NA,32,NA,60,92,"Control",0
"T302609002",45,2,2019,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,100,100,"Control",0
"T307006094",60,1,2019,16,NA,NA,NA,NA,NA,60,NA,NA,16,NA,60,76,"Control",0
"T304905101",NA,1,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T307705125",NA,1,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T303806076",60,1,2019,0.5,NA,NA,NA,NA,NA,5,NA,NA,0.5,NA,5,5.5,"Control",0
"T301502069",90,1,2019,270,NA,NA,NA,NA,NA,18,NA,NA,270,NA,18,288,"Control",0
"T301907112",NA,1,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T307707110",NA,1,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T307001096",NA,1,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T307808108",NA,1,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T307003117",60,1,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T303907079",60,1,2019,144,NA,NA,NA,NA,NA,108,NA,NA,144,NA,108,252,"Control",0
"T308603106",NA,1,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T308601105",60,1,2019,120,NA,NA,NA,NA,NA,120,NA,NA,120,NA,120,240,"Control",0
"T301808002",60,3,2019,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,45,45,"Control",0
"T309904032",60,2,2019,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,80,80,"Control",0
"T307103092",60,1,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T309304113",60,1,2019,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,60,60,"Control",0
"T303608010",60,2,2019,NA,NA,NA,NA,NA,NA,72,NA,NA,NA,NA,72,72,"Control",0
"T301502075",60,1,2019,12,NA,NA,NA,NA,NA,8,NA,NA,12,NA,8,20,"Control",0
"T305001121",30,1,2019,NA,NA,NA,NA,NA,NA,105,NA,NA,NA,NA,105,105,"Control",0
"T301502085",60,1,2019,144,NA,NA,NA,NA,NA,16,NA,NA,144,NA,16,160,"Control",0
"T301602107",NA,1,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T305004088",60,1,2019,144,144,120,60,60,70,16,14,21,408,190,51,649,"Control",0
"T301503080",60,1,2019,18,NA,NA,NA,NA,NA,5,NA,NA,18,NA,5,23,"Control",0
"T304808082",30,1,2019,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,32,32,"Control",0
"T301906103",90,1,2019,NA,NA,NA,40,NA,NA,75,NA,NA,NA,40,75,115,"Control",0
"T302608050",60,2,2019,20,NA,NA,NA,NA,NA,15,NA,NA,20,NA,15,35,"Control",0
"T309306011",60,2,2019,NA,NA,NA,NA,NA,NA,144,NA,NA,NA,NA,144,144,"Control",0
"T307705126",NA,1,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T304906102",NA,1,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T307005097",NA,1,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T302608030",NA,2,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T305404025",NA,2,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T302004124",NA,1,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T307006116",NA,1,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T300901091",60,1,2019,NA,150,NA,NA,200,NA,NA,250,NA,150,200,250,600,"Treatment",1
"T300406089",60,1,2019,NA,40.0000005960464,NA,NA,80.0000011920929,NA,NA,40.0000005960464,NA,40.0000005960464,80.0000011920929,40.0000005960464,160.000002384186,"Treatment",1
