"household_questionnaire_id","time_to_irrigate_1_katha__p_1","year","district","p1_s","p2_s","p3_s","p1_m","p2_m","p3_m","p1_w","p2_w","p3_w","p123_s","p123_m","p123_w","p123_year","TreatmentControl","TC"
"T100103003",30,2018,"Saptari",7.5,NA,NA,17.5,NA,NA,6,NA,NA,7.5,17.5,6,31,"Control",NA
"T100505004",160,2018,"Saptari",10,NA,NA,27,NA,NA,36,NA,NA,10,27,36,73,"Control",NA
"T109903002",30,2018,"Saptari",17.5,NA,NA,NA,NA,NA,10,NA,NA,17.5,NA,10,27.5,"Control",NA
"T109908003",60,2018,"Saptari",14,NA,NA,20,NA,NA,NA,NA,NA,14,20,NA,34,"Control",NA
"T100502005",60,2018,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"A110402001",180,2018,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"A104507035",30,2018,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T100503002",300,2019,"SAPTARI",NA,42,12,NA,48,42,NA,24,18,54,90,42,186,"Treatment",1
"T203901004",60,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,52,52,"Control",NA
"T210905004",120,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T210703008",160,2019,"SAPTARI",12,NA,NA,24,NA,NA,25,NA,NA,12,24,25,61,"Control",NA
"T200101003",120,2019,"SAPTARI",12,NA,NA,8,NA,NA,8,NA,NA,12,8,8,28,"Control",NA
"T107607003",120,2019,"SAPTARI",42,NA,NA,NA,NA,NA,105,NA,NA,42,NA,105,147,"Control",NA
"T210701004",120,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T107609001",120,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T104201003",180,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T205104005",180,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"C001401004",480,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T210709001",120,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T100103003",60,2019,"SAPTARI",24,4,NA,6,5,NA,18,6,NA,28,11,24,63,"Control",NA
"T203903003",90,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,640,NA,NA,NA,NA,640,640,"Control",NA
"T104201002",180,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"C009406001",60,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,31.5,NA,NA,NA,NA,31.5,31.5,"Control",NA
"T110502003",120,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T109901005",90,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,110,NA,NA,NA,NA,110,110,"Control",NA
"T203908005",120,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T104209001",240,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T102009002",90,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T107607004",120,2019,"SAPTARI",NA,NA,NA,NA,126,NA,NA,216,NA,NA,126,216,342,"Control",NA
"C009006003",60,2019,"SAPTARI",NA,NA,NA,64,NA,NA,9,NA,NA,NA,64,9,73,"Control",NA
"T210703006",120,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T107605005",120,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T104305001",60,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
