"household_questionnaire_id","time_to_irrigate_1_katha__p_1","year","district","p1_s","p2_s","p3_s","p1_m","p2_m","p3_m","p1_w","p2_w","p3_w","p123_s","p123_m","p123_w","p123_year","TreatmentControl","TC"
"T106604004",120,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T109202010",120,2017,"Saptari",21,NA,NA,33,NA,NA,NA,NA,NA,21,33,NA,54,"Control",NA
"T109203001",120,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T109201007",120,2017,"Saptari",NA,NA,NA,32.5,NA,NA,NA,NA,NA,NA,32.5,NA,32.5,"Control",NA
"T210407004",30,2017,"Saptari",NA,NA,NA,3,NA,NA,12.5,NA,NA,NA,3,12.5,15.5,"Control",NA
"C008109001",60,2017,"Saptari",NA,252,NA,NA,168,NA,NA,NA,NA,252,168,NA,420,"Control",NA
"T110510001",120,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T103207003",120,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T103204001",120,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T210701004",120,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T210701007",120,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T100502005",60,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T200103002",120,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T107607004",120,2017,"Saptari",NA,1,NA,NA,2,NA,NA,12,NA,1,2,12,15,"Control",NA
"T108803001",120,2017,"Saptari",2,NA,NA,4,NA,NA,6,NA,NA,2,4,6,12,"Control",NA
"T108804002",60,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T203309001",60,2017,"Saptari",1,2,NA,6,8,NA,5,6,NA,3,14,11,28,"Control",NA
"T203308002",60,2017,"Saptari",17.5,NA,NA,51,NA,NA,28,NA,NA,17.5,51,28,96.5,"Control",NA
"T100503002",120,2017,"Saptari",6,NA,9,8,NA,8,14,NA,14,15,16,28,59,"Treatment",1
"T100501007",120,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T100505008",60,2017,"Saptari",24,NA,NA,90,NA,NA,60,NA,NA,24,90,60,174,"Control",NA
"T109901004",60,2017,"Saptari",21,NA,NA,45,NA,NA,45,NA,NA,21,45,45,111,"Control",NA
"T109901005",60,2017,"Saptari",17.5,NA,NA,81,NA,NA,28,NA,NA,17.5,81,28,126.5,"Control",NA
"T205105003",120,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T110507002",120,2017,"Saptari",2,NA,NA,6,NA,NA,8,NA,NA,2,6,8,16,"Control",NA
"C004703001",60,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"C001705001",60,2017,"Saptari",12.5,15,12.5,28,15,14,12.5,15,24,40,57,51.5,148.5,"Control",NA
"T200101005",120,2017,"Saptari",1,NA,NA,24,NA,NA,30,NA,NA,1,24,30,55,"Control",NA
"T200102004",120,2017,"Saptari",NA,4,NA,NA,9,NA,NA,8,NA,4,9,8,21,"Control",NA
"T200104003",120,2017,"Saptari",15,NA,NA,28,NA,NA,15,NA,NA,15,28,15,58,"Control",NA
"T201105001",60,2017,"Saptari",52.5,NA,NA,228,NA,NA,45,NA,NA,52.5,228,45,325.5,"Control",NA
"C009406001",60,2017,"Saptari",80,NA,NA,15,NA,NA,NA,NA,NA,80,15,NA,95,"Control",NA
"T109902001",120,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T200101001",120,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T203309003",60,2017,"Saptari",10,25,NA,15,25,NA,8,20,NA,35,40,28,103,"Control",NA
"T107607003",120,2017,"Saptari",15,NA,NA,48,NA,NA,40,NA,NA,15,48,40,103,"Control",NA
"T107601002",60,2017,"Saptari",25,NA,NA,28,NA,NA,14,NA,NA,25,28,14,67,"Control",NA
"T210904001",120,2017,"Saptari",NA,12.5,12.5,NA,5,5,NA,6,6,25,10,12,47,"Treatment",1
"T200101003",60,2017,"Saptari",7.5,NA,NA,5,NA,NA,5,NA,NA,7.5,5,5,17.5,"Control",NA
"T210904002",120,2017,"Saptari",4,NA,NA,12,NA,NA,24,NA,NA,4,12,24,40,"Control",NA
"T210905004",60,2017,"Saptari",10,NA,NA,14,NA,NA,7.5,NA,NA,10,14,7.5,31.5,"Control",NA
"T210101002",180,2017,"Saptari",NA,7.5,NA,NA,4,NA,NA,8,NA,7.5,4,8,19.5,"Treatment",1
"T210102001",30,2017,"Saptari",60,NA,NA,144,NA,NA,72,NA,NA,60,144,72,276,"Control",NA
"T100509003",60,2017,"Saptari",4,NA,NA,15,NA,NA,15,NA,NA,4,15,15,34,"Control",NA
"T100503001",60,2017,"Saptari",6,NA,NA,10,NA,NA,6,NA,NA,6,10,6,22,"Control",NA
"T100502006",160,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T100103003",30,2017,"Saptari",24.5,NA,NA,25,NA,NA,7.5,NA,NA,24.5,25,7.5,57,"Control",NA
"T100505004",160,2017,"Saptari",56,NA,NA,112,NA,NA,54,NA,NA,56,112,54,222,"Control",NA
"T109903002",30,2017,"Saptari",17.5,NA,NA,NA,NA,NA,10,NA,NA,17.5,NA,10,27.5,"Control",NA
"T109908003",60,2017,"Saptari",35,NA,NA,63,NA,NA,NA,NA,NA,35,63,NA,98,"Control",NA
"C001410002",120,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T106604003",120,2017,"Saptari",NA,60,NA,NA,40,NA,NA,NA,NA,60,40,NA,100,"Control",NA
"T103207002",300,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T104201002",120,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T205104005",120,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T104209001",120,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T205104006",120,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T110503003",120,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T109203005",120,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T109202008",120,2017,"Saptari",40,NA,NA,80,NA,NA,NA,NA,NA,40,80,NA,120,"Control",NA
"T210408001",120,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T106605002",180,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T203901002",120,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T210706005",120,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T210709001",120,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T203901008",180,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T203908009",180,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T210703006",180,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T109202009",120,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"A104507035",30,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"A110402001",180,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T210703008",60,2018,"Saptari",20,NA,NA,45,NA,NA,NA,NA,NA,20,45,NA,65,"Control",NA
"T210709003",120,2018,"Saptari",NA,10,NA,NA,17.5,NA,NA,NA,NA,10,17.5,NA,27.5,"Treatment",1
"T204807001",30,2018,"Saptari",15,NA,NA,10,NA,NA,NA,NA,NA,15,10,NA,25,"Control",NA
"T103209004",150,2018,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"C001401001",120,2018,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T110502004",120,2018,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T104201003",120,2018,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T109205004",120,2018,"Saptari",NA,12.5,NA,NA,30,NA,NA,NA,NA,12.5,30,NA,42.5,"Treatment",1
"T109203003",120,2018,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T109202002",60,2018,"Saptari",5,NA,NA,20,NA,NA,NA,NA,NA,5,20,NA,25,"Control",NA
"T110505001",120,2018,"Saptari",NA,17.5,NA,NA,7.5,NA,NA,6,NA,17.5,7.5,6,31,"Treatment",1
"T109201006",120,2018,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T210405002",60,2018,"Saptari",17.5,NA,NA,44,NA,NA,NA,NA,NA,17.5,44,NA,61.5,"Control",NA
"T210407003",70,2018,"Saptari",90,NA,NA,180,NA,NA,75,NA,NA,90,180,75,345,"Control",NA
"T203907006",120,2018,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T203908005",60,2018,"Saptari",7.5,NA,NA,20,NA,NA,10,NA,NA,7.5,20,10,37.5,"Control",NA
"T203900307",120,2018,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T106604005",180,2018,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T203901004",90,2018,"Saptari",28,NA,NA,50,NA,NA,NA,NA,NA,28,50,NA,78,"Control",NA
"T106604003",120,2018,"Saptari",NA,NA,NA,NA,30,NA,NA,10,NA,NA,30,10,40,"Control",NA
"T103207002",300,2018,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T104201002",120,2018,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T205104005",120,2018,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"C001410002",120,2018,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T104209001",120,2018,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T205104006",120,2018,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T110503003",120,2018,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T109203005",120,2018,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T109202008",120,2018,"Saptari",NA,NA,NA,50,NA,NA,NA,NA,NA,NA,50,NA,50,"Control",NA
"T210408001",120,2018,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T106605002",180,2018,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T203901002",120,2018,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T109202009",120,2018,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T210706005",120,2018,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T210709001",180,2018,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T203901008",180,2018,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T203908009",180,2018,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T210703006",180,2018,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T108803015",60,2018,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"C009006001",60,2018,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T106006001",NA,2018,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T107609001",90,2018,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T108808014",60,2018,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"C001701002",60,2018,"Saptari",NA,NA,NA,25,NA,NA,NA,NA,NA,NA,25,NA,25,"Control",NA
"C008508001",30,2018,"Saptari",NA,NA,NA,31.5,31.5,NA,15,9,NA,NA,63,24,87,"Control",NA
"T107104001",60,2018,"Saptari",25,NA,NA,10,NA,NA,8,NA,NA,25,10,8,43,"Control",NA
"T102009002",60,2018,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T102007003",60,2018,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T106006002",NA,2018,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"C009006002",60,2018,"Saptari",NA,NA,NA,35,NA,NA,100,NA,NA,NA,35,100,135,"Control",NA
"T211002001",60,2018,"Saptari",48,NA,NA,50,NA,NA,NA,NA,NA,48,50,NA,98,"Control",NA
"T107605005",120,2018,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T104305001",120,2018,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"C009006003",60,2018,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T107104002",60,2018,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T102007001",120,2018,"Saptari",NA,30,80,NA,30,25,NA,NA,NA,110,55,NA,165,"Treatment",1
"T102007004",60,2018,"Saptari",22.5,NA,NA,NA,NA,NA,NA,NA,NA,22.5,NA,NA,22.5,"Control",NA
"C001401004",120,2018,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T104203004",120,2018,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T110502003",120,2018,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T210708002",120,2018,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T203908001",120,2018,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T203903003",90,2018,"Saptari",20,NA,NA,45,NA,NA,40,NA,NA,20,45,40,105,"Control",NA
"T106604004",120,2018,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T206702001",60,2018,"Saptari",NA,NA,NA,60,NA,NA,NA,NA,NA,NA,60,NA,60,"Control",NA
