"year","district","household_questionnaire_id","days_in_a_season_pump_use_s_p1","hours_per_day_use_s__p_1","days_in_a_season_pump_use_s_p2","hours_per_day_use_s__p_2","days_in_a_season_pump_use_s_p3","hours_per_day_use_s__p_3","days_in_a_season_pump_use_m_p1","hours_per_day_use_m__p_1","days_in_a_season_pump_use_m_p2","hours_per_day_use_m__p_2","days_in_a_season_pump_use_m_p3","hours_per_day_use_m__p_3","days_in_a_season_pump_use_w_p1","hours_per_day_use_w__p_1","days_in_a_season_pump_use_w_p2","hours_per_day_use_w__p_2","days_in_a_season_pump_use_w_p3","hours_per_day_use_w__p_3","TreatmentControl","TC","ps1","ps2","ps3","pm1","pm2","pm3","pw1","pw2","pw3","Summer_hr","Monsoon_hr","Winter_hr","Yearly_hr","p1_hr","p2_hr","p3_hr","days_monsoon","days_winter","days_summer","days_year","days_p1","days_p2","days_p3"
2018,"Saptari","C009006001",10,10,NA,NA,NA,NA,10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,100,NA,NA,60,NA,NA,NA,NA,NA,100,60,NA,160,160,NA,NA,10,NA,10,20,20,NA,NA
2018,"Saptari","T106006001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,"Saptari","T107609001",NA,NA,NA,NA,NA,NA,9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,45,NA,45,45,NA,NA,9,NA,NA,9,9,NA,NA
2018,"Saptari","T108808014",8,8,5,7,NA,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,64,35,NA,20,NA,NA,NA,NA,NA,99,20,NA,119,84,35,NA,4,NA,13,17,12,5,NA
2018,"Saptari","C001701002",NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,25,NA,25,25,NA,NA,5,NA,NA,5,5,NA,NA
2018,"Saptari","C008508001",NA,NA,NA,NA,NA,NA,3,7,3,7,NA,NA,5,2,3,2,NA,NA,"Control",NA,NA,NA,NA,21,21,NA,10,6,NA,NA,42,16,58,31,27,NA,6,8,NA,14,8,6,NA
2018,"Saptari","T107104001",5,10,5,1,5,10,2,10,4,2,5,1,8,2,7,1,5,1,"Control",NA,50,5,50,20,8,5,16,7,5,105,33,28,166,86,20,60,11,20,15,46,15,16,15
2018,"Saptari","T102009002",10,8,2,5,NA,NA,10,5,5,5,NA,NA,15,3,NA,NA,NA,NA,"Control",NA,80,10,NA,50,25,NA,45,NA,NA,90,75,45,210,175,35,NA,15,15,12,42,35,7,NA
2018,"Saptari","T102007003",2,5,NA,NA,NA,NA,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,10,NA,NA,24,NA,NA,NA,NA,NA,10,24,NA,34,34,NA,NA,4,NA,2,6,6,NA,NA
2018,"Saptari","T106006002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,"Saptari","C009006002",NA,NA,NA,NA,NA,NA,5,7,7,5,NA,NA,10,10,10,5,NA,NA,"Control",NA,NA,NA,NA,35,35,NA,100,50,NA,NA,70,150,220,135,85,NA,12,20,NA,32,15,17,NA
2018,"Saptari","T211002001",6,8,NA,NA,NA,NA,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,48,NA,NA,50,NA,NA,NA,NA,NA,48,50,NA,98,98,NA,NA,5,NA,6,11,11,NA,NA
2018,"Saptari","T107605005",NA,NA,NA,NA,NA,NA,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,40,NA,40,40,NA,NA,8,NA,NA,8,8,NA,NA
2018,"Saptari","T104305001",7,7,NA,NA,NA,NA,17,10,NA,NA,NA,NA,8,10,NA,NA,NA,NA,"Control",NA,49,NA,NA,170,NA,NA,80,NA,NA,49,170,80,299,299,NA,NA,17,8,7,32,32,NA,NA
2018,"Saptari","C009006003",8,10,NA,NA,NA,NA,5,10,NA,NA,NA,NA,10,5,NA,NA,NA,NA,"Control",NA,80,NA,NA,50,NA,NA,50,NA,NA,80,50,50,180,180,NA,NA,5,10,8,23,23,NA,NA
2018,"Saptari","T107104002",7,6,NA,NA,NA,NA,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,42,NA,NA,24,NA,NA,NA,NA,NA,42,24,NA,66,66,NA,NA,4,NA,7,11,11,NA,NA
2018,"Saptari","T102007001",7,5,5,6,10,8,3,5,5,6,5,5,NA,NA,NA,NA,NA,NA,"Treatment",1,35,30,80,15,30,25,NA,NA,NA,145,70,NA,215,50,60,105,13,NA,22,35,10,10,15
2018,"Saptari","T102007004",3,5,NA,NA,20,5,NA,NA,NA,NA,9,4,NA,NA,NA,NA,15,2,"Control",NA,15,NA,100,NA,NA,36,NA,NA,30,115,36,30,181,15,NA,166,9,15,23,47,3,NA,44
2018,"Saptari","C001401004",NA,NA,NA,NA,NA,NA,12,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,48,NA,48,48,NA,NA,12,NA,NA,12,12,NA,NA
2018,"Saptari","T104203004",NA,NA,NA,NA,NA,NA,15,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,45,NA,45,45,NA,NA,15,NA,NA,15,15,NA,NA
2018,"Saptari","T110502003",NA,NA,NA,NA,NA,NA,10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,30,NA,30,30,NA,NA,10,NA,NA,10,10,NA,NA
2018,"Saptari","T210708002",25,4,NA,NA,NA,NA,35,4,NA,NA,NA,NA,40,6,NA,NA,NA,NA,"Treatment",1,100,NA,NA,140,NA,NA,240,NA,NA,100,140,240,480,480,NA,NA,35,40,25,100,100,NA,NA
2018,"Saptari","T203908001",27,6,10,5,NA,NA,27,6,12,4,NA,NA,35,6,NA,NA,NA,NA,"Treatment",1,162,50,NA,162,48,NA,210,NA,NA,212,210,210,632,534,98,NA,39,35,37,111,89,22,NA
2018,"Saptari","T203903003",10,4,NA,NA,NA,NA,15,6,NA,NA,NA,NA,20,4,NA,NA,NA,NA,"Control",NA,40,NA,NA,90,NA,NA,80,NA,NA,40,90,80,210,210,NA,NA,15,20,10,45,45,NA,NA
2018,"Saptari","T106604004",8,10,NA,NA,NA,NA,10,9,NA,NA,NA,NA,25,7,NA,NA,NA,NA,"Control",NA,80,NA,NA,90,NA,NA,175,NA,NA,80,90,175,345,345,NA,NA,10,25,8,43,43,NA,NA
2018,"Saptari","T206702001",NA,NA,NA,NA,NA,NA,12,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,60,NA,60,60,NA,NA,12,NA,NA,12,12,NA,NA
2018,"Saptari","T109202010",NA,NA,NA,NA,NA,NA,13,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,78,NA,NA,NA,NA,NA,NA,78,NA,78,78,NA,NA,13,NA,NA,13,13,NA,NA
2018,"Saptari","T109201007",NA,NA,NA,NA,NA,NA,13,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,65,NA,65,65,NA,NA,13,NA,NA,13,13,NA,NA
2018,"Saptari","T110510001",NA,NA,NA,NA,NA,NA,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,40,NA,40,40,NA,NA,10,NA,NA,10,10,NA,NA
2018,"Saptari","T103207003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,"Saptari","T103204001",50,4,NA,NA,NA,NA,35,5,NA,NA,NA,NA,60,7,NA,NA,NA,NA,"Treatment",1,200,NA,NA,175,NA,NA,420,NA,NA,200,175,420,795,795,NA,NA,35,60,50,145,145,NA,NA
2018,"Saptari","T210701004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,"Saptari","T210701007",NA,NA,NA,NA,NA,NA,7,4,NA,NA,NA,NA,20,4,NA,NA,NA,NA,"Control",NA,NA,NA,NA,28,NA,NA,80,NA,NA,NA,28,80,108,108,NA,NA,7,20,NA,27,27,NA,NA
2018,"Saptari","T109203001",15,4,NA,NA,NA,NA,30,4,NA,NA,NA,NA,35,4,NA,NA,NA,NA,"Treatment",1,60,NA,NA,120,NA,NA,140,NA,NA,60,120,140,320,320,NA,NA,30,35,15,80,80,NA,NA
2018,"Saptari","T210407004",NA,NA,NA,NA,NA,NA,6,3,NA,NA,NA,NA,8,4,NA,NA,NA,NA,"Control",NA,NA,NA,NA,18,NA,NA,32,NA,NA,NA,18,32,50,50,NA,NA,6,8,NA,14,14,NA,NA
2018,"Saptari","C008109001",NA,NA,NA,NA,NA,NA,NA,NA,56,6,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,336,NA,NA,NA,NA,NA,336,NA,336,NA,336,NA,56,NA,NA,56,NA,56,NA
2018,"Saptari","T200103002",1,1,1,2,1,1,2,2,4,2,2,2,2,5,3,3,3,2,"Treatment",1,1,2,1,4,8,4,10,9,6,4,16,25,45,15,19,11,8,8,3,19,5,8,6
2018,"Saptari","T107607004",1,1,1,1,NA,NA,4,2,2,1,NA,NA,3,2,3,4,NA,NA,"Control",NA,1,1,NA,8,2,NA,6,12,NA,2,10,18,30,15,15,NA,6,6,2,14,8,6,NA
2018,"Saptari","T108803001",1,2,1,2,NA,NA,5,6,4,3,NA,NA,5,6,4,3,NA,NA,"Control",NA,2,2,NA,30,12,NA,30,12,NA,4,42,42,88,62,26,NA,9,9,2,20,11,9,NA
2018,"Saptari","T108804002",2,1,NA,NA,NA,NA,5,2,NA,NA,NA,NA,6,2,NA,NA,NA,NA,"Control",NA,2,NA,NA,10,NA,NA,12,NA,NA,2,10,12,24,24,NA,NA,5,6,2,13,13,NA,NA
2018,"Saptari","T203309001",1,1,1,1,1,1,2,3,2,3,2,3,5,2,3,1,4,1,"Control",NA,1,1,1,6,6,6,10,3,4,3,18,17,38,17,10,11,6,12,3,21,8,6,7
2018,"Saptari","T203308002",5,7,NA,NA,NA,NA,17,6,NA,NA,NA,NA,8,7,NA,NA,NA,NA,"Control",NA,35,NA,NA,102,NA,NA,56,NA,NA,35,102,56,193,193,NA,NA,17,8,5,30,30,NA,NA
2018,"Saptari","T100503002",2,6,15,10,15,12,10,6,20,12,17,14,5,6,NA,NA,NA,NA,"Treatment",1,12,150,180,60,240,238,30,NA,NA,342,538,30,910,102,390,418,47,5,32,84,17,35,32
2018,"Saptari","T100501007",1,2,NA,NA,NA,NA,5,6,NA,NA,NA,NA,7,8,NA,NA,NA,NA,"Control",NA,2,NA,NA,30,NA,NA,56,NA,NA,2,30,56,88,88,NA,NA,5,7,1,13,13,NA,NA
2018,"Saptari","T100505008",6,8,NA,NA,NA,NA,20,9,NA,NA,NA,NA,15,8,NA,NA,NA,NA,"Control",NA,48,NA,NA,180,NA,NA,120,NA,NA,48,180,120,348,348,NA,NA,20,15,6,41,41,NA,NA
2018,"Saptari","T109901004",6,7,NA,NA,NA,NA,10,9,NA,NA,NA,NA,9,10,NA,NA,NA,NA,"Control",NA,42,NA,NA,90,NA,NA,90,NA,NA,42,90,90,222,222,NA,NA,10,9,6,25,25,NA,NA
2018,"Saptari","T109901005",7,5,NA,NA,NA,NA,18,9,NA,NA,NA,NA,8,7,NA,NA,NA,NA,"Control",NA,35,NA,NA,162,NA,NA,56,NA,NA,35,162,56,253,253,NA,NA,18,8,7,33,33,NA,NA
2018,"Saptari","T205105003",2,6,3,5,NA,NA,5,6,5,7,NA,NA,5,7,5,7,NA,NA,"Treatment",1,12,15,NA,30,35,NA,35,35,NA,27,65,70,162,77,85,NA,10,10,5,25,12,13,NA
2018,"Saptari","T110507002",2,1,NA,NA,NA,NA,3,5,NA,NA,NA,NA,6,7,NA,NA,NA,NA,"Control",NA,2,NA,NA,15,NA,NA,42,NA,NA,2,15,42,59,59,NA,NA,3,6,2,11,11,NA,NA
2018,"Saptari","C004703001",7,6,NA,NA,NA,NA,18,9,NA,NA,NA,NA,15,8,NA,NA,NA,NA,"Control",NA,42,NA,NA,162,NA,NA,120,NA,NA,42,162,120,324,324,NA,NA,18,15,7,40,40,NA,NA
2018,"Saptari","C001705001",5,5,5,6,5,5,7,8,6,5,7,4,5,5,6,5,8,6,"Control",NA,25,30,25,56,30,28,25,30,48,80,114,103,297,106,90,101,20,19,15,54,17,17,20
2018,"Saptari","T200101005",1,1,1,1,NA,NA,3,3,4,3,NA,NA,5,6,4,3,NA,NA,"Control",NA,1,1,NA,9,12,NA,30,12,NA,2,21,42,65,40,25,NA,7,9,2,18,9,9,NA
2018,"Saptari","T200102004",5,6,7,6,NA,NA,7,7,10,6,NA,NA,5,5,6,5,NA,NA,"Control",NA,30,42,NA,49,60,NA,25,30,NA,72,109,55,236,104,132,NA,17,11,12,40,17,23,NA
2018,"Saptari","T200104003",5,6,5,5,NA,NA,7,8,7,7,NA,NA,5,6,5,7,NA,NA,"Control",NA,30,25,NA,56,49,NA,30,35,NA,55,105,65,225,116,109,NA,14,10,10,34,17,17,NA
2018,"Saptari","T201105001",5,7,NA,NA,NA,NA,19,8,NA,NA,NA,NA,6,5,NA,NA,NA,NA,"Control",NA,35,NA,NA,152,NA,NA,30,NA,NA,35,152,30,217,217,NA,NA,19,6,5,30,30,NA,NA
2018,"Saptari","C009406001",4,3,NA,NA,NA,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,12,NA,NA,15,NA,NA,NA,NA,NA,12,15,NA,27,27,NA,NA,5,NA,4,9,9,NA,NA
2018,"Saptari","T109902001",6,5,NA,NA,NA,NA,10,6,NA,NA,NA,NA,3,5,NA,NA,NA,NA,"Treatment",1,30,NA,NA,60,NA,NA,15,NA,NA,30,60,15,105,105,NA,NA,10,3,6,19,19,NA,NA
2018,"Saptari","T200101001",9,6,NA,NA,NA,NA,20,8,NA,NA,NA,NA,7,7,NA,NA,NA,NA,"Control",NA,54,NA,NA,160,NA,NA,49,NA,NA,54,160,49,263,263,NA,NA,20,7,9,36,36,NA,NA
2018,"Saptari","T203309003",9,7,3,5,NA,NA,7,6,3,2,NA,NA,10,8,3,4,NA,NA,"Control",NA,63,15,NA,42,6,NA,80,12,NA,78,48,92,218,185,33,NA,10,13,12,35,26,9,NA
2018,"Saptari","T107607003",5,3,NA,NA,NA,NA,16,3,NA,NA,NA,NA,20,2,NA,NA,NA,NA,"Control",NA,15,NA,NA,48,NA,NA,40,NA,NA,15,48,40,103,103,NA,NA,16,20,5,41,41,NA,NA
2018,"Saptari","T107601002",5,5,3,8,NA,NA,5,6,9,7,NA,NA,2,5,9,7,NA,NA,"Control",NA,25,24,NA,30,63,NA,10,63,NA,49,93,73,215,65,150,NA,14,11,8,33,12,21,NA
2018,"Saptari","T210904001",5,10,5,2,5,2,5,7,5,5,5,5,6,2,6,2,6,2,"Treatment",1,50,10,10,35,25,25,12,12,12,70,85,36,191,97,47,47,15,18,15,48,16,16,16
2018,"Saptari","T200101003",5,3,NA,NA,NA,NA,5,2,NA,NA,NA,NA,5,2,NA,NA,NA,NA,"Control",NA,15,NA,NA,10,NA,NA,10,NA,NA,15,10,10,35,35,NA,NA,5,5,5,15,15,NA,NA
2018,"Saptari","T210904002",2,2,NA,NA,NA,NA,6,2,NA,NA,NA,NA,12,2,NA,NA,NA,NA,"Control",NA,4,NA,NA,12,NA,NA,24,NA,NA,4,12,24,40,40,NA,NA,6,12,2,20,20,NA,NA
2018,"Saptari","T210905004",5,4,5,3,NA,NA,7,4,5,4,NA,NA,5,3,5,4,NA,NA,"Control",NA,20,15,NA,28,20,NA,15,20,NA,35,48,35,118,63,55,NA,12,10,10,32,17,15,NA
2018,"Saptari","T210101002",9,5,15,8,NA,NA,18,6,20,9,NA,NA,5,5,7,4,NA,NA,"Treatment",1,45,120,NA,108,180,NA,25,28,NA,165,288,53,506,178,328,NA,38,12,24,74,32,42,NA
2018,"Saptari","T210102001",10,6,NA,NA,NA,NA,18,8,NA,NA,NA,NA,8,9,NA,NA,NA,NA,"Control",NA,60,NA,NA,144,NA,NA,72,NA,NA,60,144,72,276,276,NA,NA,18,8,10,36,36,NA,NA
2018,"Saptari","T100509003",1,5,1,2,NA,NA,7,3,3,2,NA,NA,5,2,5,2,NA,NA,"Control",NA,5,2,NA,21,6,NA,10,10,NA,7,27,20,54,36,18,NA,10,10,2,22,13,9,NA
2018,"Saptari","T100503001",4,3,NA,NA,NA,NA,5,4,NA,NA,NA,NA,4,3,NA,NA,NA,NA,"Control",NA,12,NA,NA,20,NA,NA,12,NA,NA,12,20,12,44,44,NA,NA,5,4,4,13,13,NA,NA
2018,"Saptari","T100502006",2,2,NA,NA,NA,NA,3,2,NA,NA,NA,NA,6,2,NA,NA,NA,NA,"Control",NA,4,NA,NA,6,NA,NA,12,NA,NA,4,6,12,22,22,NA,NA,3,6,2,11,11,NA,NA
2018,"Saptari","T100103003",3,5,7,7,NA,NA,7,5,10,8,NA,NA,2,6,5,2,NA,NA,"Control",NA,15,49,NA,35,80,NA,12,10,NA,64,115,22,201,62,139,NA,17,7,10,34,12,22,NA
2018,"Saptari","T100505004",2,5,NA,NA,NA,NA,3,9,NA,NA,NA,NA,6,6,NA,NA,NA,NA,"Control",NA,10,NA,NA,27,NA,NA,36,NA,NA,10,27,36,73,73,NA,NA,3,6,2,11,11,NA,NA
2018,"Saptari","T109903002",7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,NA,NA,NA,NA,"Control",NA,35,NA,NA,NA,NA,NA,20,NA,NA,35,NA,20,55,55,NA,NA,NA,5,7,12,12,NA,NA
2018,"Saptari","T109908003",2,7,NA,NA,NA,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,14,NA,NA,20,NA,NA,NA,NA,NA,14,20,NA,34,34,NA,NA,4,NA,2,6,6,NA,NA
2018,"Saptari","T100502005",2,2,NA,NA,NA,NA,3,4,NA,NA,NA,NA,5,5,NA,NA,NA,NA,"Control",NA,4,NA,NA,12,NA,NA,25,NA,NA,4,12,25,41,41,NA,NA,3,5,2,10,10,NA,NA
2018,"Saptari","A110402001",10,5,NA,NA,NA,NA,20,5,NA,NA,NA,NA,15,6,NA,NA,NA,NA,"Treatment",1,50,NA,NA,100,NA,NA,90,NA,NA,50,100,90,240,240,NA,NA,20,15,10,45,45,NA,NA
2018,"Saptari","A104507035",45,5,NA,NA,NA,NA,55,4,NA,NA,NA,NA,60,5,NA,NA,NA,NA,"Treatment",1,225,NA,NA,220,NA,NA,300,NA,NA,225,220,300,745,745,NA,NA,55,60,45,160,160,NA,NA
2019,"Saptari","T100503002",8,5,3,7,2,3,4,7,3,8,3,7,5,9,2,6,3,3,"Treatment",1,40,21,6,28,24,21,45,12,9,67,73,66,206,113,57,36,10,10,13,33,17,8,8
2019,"Saptari","T203901004",NA,NA,NA,NA,NA,NA,5,NA,NA,3,NA,NA,26,4,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,104,NA,NA,NA,NA,104,104,104,NA,NA,5,26,NA,31,31,NA,NA
2019,"Saptari","T210905004",3,4,NA,NA,NA,NA,5,NA,NA,3,NA,NA,4,3,NA,NA,NA,NA,"Control",NA,12,NA,NA,NA,NA,NA,12,NA,NA,12,NA,12,24,24,NA,NA,5,4,3,12,12,NA,NA
2019,"Saptari","T210703008",4,3,4,4,NA,NA,4,6,5,6,NA,NA,5,5,5,5,NA,NA,"Control",NA,12,16,NA,24,30,NA,25,25,NA,28,54,50,132,61,71,NA,9,10,8,27,13,14,NA
2019,"Saptari","T200101003",3,4,2,2,NA,NA,4,2,3,3,NA,NA,4,2,3,1,NA,NA,"Control",NA,12,4,NA,8,9,NA,8,3,NA,16,17,11,44,28,16,NA,7,7,5,19,11,8,NA
2019,"Saptari","T107607003",7,6,NA,NA,NA,NA,4,NA,NA,6,NA,NA,15,7,NA,NA,NA,NA,"Control",NA,42,NA,NA,NA,NA,NA,105,NA,NA,42,NA,105,147,147,NA,NA,4,15,7,26,26,NA,NA
2019,"Saptari","T210701004",3,5,4,5,3,5,3,5,3,4,4,4,4,5,4,5,3,7,"Treatment",1,15,20,15,15,12,16,20,20,21,50,43,61,154,50,52,52,10,11,10,31,10,11,10
2019,"Saptari","T107609001",8,10,NA,NA,NA,NA,3,NA,NA,4,NA,NA,6,10,NA,NA,NA,NA,"Control",NA,80,NA,NA,NA,NA,NA,60,NA,NA,80,NA,60,140,140,NA,NA,3,6,8,17,17,NA,NA
2019,"Saptari","T104201003",8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,"Control",NA,16,NA,NA,NA,NA,NA,4,NA,NA,16,NA,4,20,20,NA,NA,NA,2,8,10,10,NA,NA
2019,"Saptari","T205104005",NA,NA,NA,NA,NA,NA,3,NA,NA,6,NA,NA,30,5,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,150,NA,NA,NA,NA,150,150,150,NA,NA,3,30,NA,33,33,NA,NA
2019,"Saptari","C001401004",NA,NA,NA,NA,NA,NA,3,NA,NA,24,NA,NA,15,10,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,150,NA,NA,NA,NA,150,150,150,NA,NA,3,15,NA,18,18,NA,NA
2019,"Saptari","T210709001",5,8,5,6,NA,NA,5,3,3,5,NA,NA,4,7,4,5,NA,NA,"Treatment",1,40,30,NA,15,15,NA,28,20,NA,70,30,48,148,83,65,NA,8,8,10,26,14,12,NA
2019,"Saptari","T100103003",4,4,2,2,NA,NA,2,2,1,5,NA,NA,3,4,2,3,NA,NA,"Control",NA,16,4,NA,4,5,NA,12,6,NA,20,9,18,47,32,15,NA,3,5,6,14,9,5,NA
2019,"Saptari","T203903003",NA,NA,NA,NA,NA,NA,6,NA,NA,7,NA,NA,8,8,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,64,64,64,NA,NA,6,8,NA,14,14,NA,NA
2019,"Saptari","T104201002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,"Saptari","C009406001",NA,NA,NA,NA,NA,NA,4,NA,NA,5,NA,NA,3,7,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,21,21,21,NA,NA,4,3,NA,7,7,NA,NA
2019,"Saptari","T110502003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,24,24,24,NA,NA,NA,3,NA,3,3,NA,NA
2019,"Saptari","T109901005",NA,NA,NA,NA,NA,NA,7,NA,NA,9,NA,NA,10,11,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,110,NA,NA,NA,NA,110,110,110,NA,NA,7,10,NA,17,17,NA,NA
2019,"Saptari","T203908005",70,5,NA,NA,NA,NA,10,NA,NA,-4,NA,NA,4,7,NA,NA,NA,NA,"Control",NA,350,NA,NA,NA,NA,NA,28,NA,NA,350,NA,28,378,378,NA,NA,10,4,70,84,84,NA,NA
2019,"Saptari","T104209001",60,7,NA,NA,NA,NA,45,NA,NA,5,NA,NA,50,4,NA,NA,NA,NA,"Treatment",1,420,NA,NA,NA,NA,NA,200,NA,NA,420,NA,200,620,620,NA,NA,45,50,60,155,155,NA,NA
2019,"Saptari","T102009002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,4,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,120,120,120,NA,NA,NA,30,NA,30,30,NA,NA
2019,"Saptari","T107607004",NA,NA,NA,NA,NA,NA,8,5,7,9,NA,NA,10,8,12,9,NA,NA,"Control",NA,NA,NA,NA,40,63,NA,80,108,NA,NA,103,188,291,120,171,NA,15,22,NA,37,18,19,NA
2019,"Saptari","C009006003",NA,NA,NA,NA,NA,NA,8,8,6,4,NA,NA,3,3,5,4,NA,NA,"Control",NA,NA,NA,NA,64,24,NA,9,20,NA,NA,88,29,117,73,44,NA,14,8,NA,22,11,11,NA
2019,"Saptari","T210703006",NA,NA,NA,NA,NA,NA,10,NA,NA,5,NA,NA,15,10,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,150,NA,NA,NA,NA,150,150,150,NA,NA,10,15,NA,25,25,NA,NA
2019,"Saptari","T107605005",16,15,NA,NA,NA,NA,14,NA,NA,5,NA,NA,6,6,NA,NA,NA,NA,"Control",NA,240,NA,NA,NA,NA,NA,36,NA,NA,240,NA,36,276,276,NA,NA,14,6,16,36,36,NA,NA
2019,"Saptari","T104305001",18,1,NA,NA,NA,NA,15,NA,NA,8,NA,NA,10,5,NA,NA,NA,NA,"Control",NA,18,NA,NA,NA,NA,NA,50,NA,NA,18,NA,50,68,68,NA,NA,15,10,18,43,43,NA,NA
2019,"Saptari","T210706005",7,7,5,8,NA,NA,25,6,10,5,NA,NA,8,8,7,10,NA,NA,"Control",NA,49,40,NA,150,50,NA,64,70,NA,89,200,134,423,263,160,NA,35,15,12,62,40,22,NA
2019,"Saptari","T106604003",3,3,NA,NA,NA,NA,4,NA,NA,3,NA,NA,5,4,NA,NA,NA,NA,"Control",NA,9,NA,NA,NA,NA,NA,20,NA,NA,9,NA,20,29,29,NA,NA,4,5,3,12,12,NA,NA
2019,"Saptari","T210102001",3,2,3,3,NA,NA,4,4,2,3,NA,NA,3,2,5,6,NA,NA,"Control",NA,6,9,NA,16,6,NA,6,30,NA,15,22,36,73,28,45,NA,6,8,6,20,10,10,NA
2019,"Saptari","T108804002",NA,NA,NA,NA,NA,NA,8,NA,NA,6,NA,NA,10,3,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,30,30,30,NA,NA,8,10,NA,18,18,NA,NA
2019,"Saptari","T108803001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,11,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,22,22,22,NA,NA,NA,2,NA,2,2,NA,NA
