"year","district","household_questionnaire_id","days_in_a_season_pump_use_s_p1","hours_per_day_use_s__p_1","days_in_a_season_pump_use_s_p2","hours_per_day_use_s__p_2","days_in_a_season_pump_use_s_p3","hours_per_day_use_s__p_3","days_in_a_season_pump_use_m_p1","hours_per_day_use_m__p_1","days_in_a_season_pump_use_m_p2","hours_per_day_use_m__p_2","days_in_a_season_pump_use_m_p3","hours_per_day_use_m__p_3","days_in_a_season_pump_use_w_p1","hours_per_day_use_w__p_1","days_in_a_season_pump_use_w_p2","hours_per_day_use_w__p_2","days_in_a_season_pump_use_w_p3","hours_per_day_use_w__p_3","TreatmentControl","TC","ps1","ps2","ps3","pm1","pm2","pm3","pw1","pw2","pw3","Summer_hr","Monsoon_hr","Winter_hr","Yearly_hr","p1_hr","p2_hr","p3_hr","days_monsoon","days_winter","days_summer","days_year","days_p1","days_p2","days_p3"
2017,"Saptari","T107601002",5,5,10,13,NA,NA,7,4,8,9,NA,NA,2,7,2,9,NA,NA,"Control",NA,25,130,NA,28,72,NA,14,18,NA,155,100,32,287,67,220,NA,15,4,15,34,14,20,NA
2017,"Saptari","T210904001",5,7,5,5,5,5,5,10,5,2,5,2,6,2,6,2,6,2,"Treatment",1,35,25,25,50,10,10,12,12,12,85,70,36,191,97,47,47,15,18,15,48,16,16,16
2017,"Saptari","T200101003",5,3,NA,NA,NA,NA,5,2,NA,NA,NA,NA,5,2,NA,NA,NA,NA,"Control",NA,15,NA,NA,10,NA,NA,10,NA,NA,15,10,10,35,35,NA,NA,5,5,5,15,15,NA,NA
2017,"Saptari","T210904002",2,2,NA,NA,NA,NA,6,2,NA,NA,NA,NA,12,2,NA,NA,NA,NA,"Control",NA,4,NA,NA,12,NA,NA,24,NA,NA,4,12,24,40,40,NA,NA,6,12,2,20,20,NA,NA
2017,"Saptari","T210905004",5,4,5,3,NA,NA,7,4,5,4,NA,NA,5,3,5,4,NA,NA,"Control",NA,20,15,NA,28,20,NA,15,20,NA,35,48,35,118,63,55,NA,12,10,10,32,17,15,NA
2017,"Saptari","T210101002",5,2,5,3,NA,NA,3,2,4,2,NA,NA,5,5,8,2,NA,NA,"Treatment",1,10,15,NA,6,8,NA,25,16,NA,25,14,41,80,41,39,NA,7,13,10,30,13,17,NA
2017,"Saptari","T210102001",10,6,NA,NA,NA,NA,18,8,NA,NA,NA,NA,8,9,NA,NA,NA,NA,"Control",NA,60,NA,NA,144,NA,NA,72,NA,NA,60,144,72,276,276,NA,NA,18,8,10,36,36,NA,NA
2017,"Saptari","T100509003",1,4,5,3,NA,NA,5,3,3,3,NA,NA,5,3,5,3,NA,NA,"Control",NA,4,15,NA,15,9,NA,15,15,NA,19,24,30,73,34,39,NA,8,10,6,24,11,13,NA
2017,"Saptari","T100503001",4,3,NA,NA,NA,NA,5,4,NA,NA,NA,NA,4,3,NA,NA,NA,NA,"Control",NA,12,NA,NA,20,NA,NA,12,NA,NA,12,20,12,44,44,NA,NA,5,4,4,13,13,NA,NA
2017,"Saptari","T100502006",5,2,NA,NA,NA,NA,6,4,NA,NA,NA,NA,7,2,NA,NA,NA,NA,"Control",NA,10,NA,NA,24,NA,NA,14,NA,NA,10,24,14,48,48,NA,NA,6,7,5,18,18,NA,NA
