"household_questionnaire_id","type_of_crop","name_of_crop","season_of_crop","when_is_crop_sowed","when_is_crop_harvested","cult_area_under_crop","most_imp_source","hrs_irr_1katha","no_of_irrigation_for_1_katha","what_was_your_total_harvest","unit_harvest","percent_for_selling","price_per_kg","year","district","TreatmentControl","TC","irri_for_season","name_of_crop_detail"
"T206702001",47,"Vegetables","Winter",9,12,5,0,0,0,8,1,80,10,2017,"Saptari","Control",0,0,"POTATO"
"T106604004",47,"Vegetables","Winter",9,12,2,2,2,1,10,1,50,13,2017,"Saptari","Control",0,4,"POTATO"
"T106604004",44,"Vegetables","Winter",9,12,1,2,2,6,7,1,85,25,2017,"Saptari","Control",0,12,"CAULIFLOWER"
"T106604004",58,"Vegetables","Winter",9,12,1,2,2,2,35,3,60,105,2017,"Saptari","Control",0,4,"CORIANDER"
"T106604004",8,"Vegetables","Winter",9,12,1,2,2,10,6,1,85,30,2017,"Saptari","Control",0,20,"BRINJAL"
"T106604004",21,"Vegetables","Winter",9,12,2,0,0,0,20,3,50,90,2017,"Saptari","Control",0,0,"GREEN PEA"
"T109202010",53,"Vegetables","Winter",8,12,1,2,2,10,8,1,50,15,2017,"Saptari","Control",0,20,"ONIONS"
"T109202010",44,"Vegetables","Winter",8,12,1,2,2,5,7,1,90,28,2017,"Saptari","Control",0,10,"CAULIFLOWER"
"T109202010",11,"Vegetables","Winter",8,12,1,2,2,10,50,3,70,125,2017,"Saptari","Control",0,20,"CHILLIES"
"T109202010",21,"Vegetables","Winter",9,12,2,0,0,0,30,3,50,90,2017,"Saptari","Control",0,0,"GREEN PEA"
"T109202010",47,"Vegetables","Winter",9,12,2,0,0,0,9,1,50,10,2017,"Saptari","Control",0,0,"POTATO"
"T109203001",53,"Vegetables","Winter",8,12,1,2,2,8,7,1,50,16,2017,"Saptari","Treatment",1,16,"ONIONS"
"T109203001",55,"Vegetables","Winter",8,12,1,2,2,7,4,1,50,90,2017,"Saptari","Treatment",1,14,"GARLIC"
"T109203001",44,"Vegetables","Winter",9,12,1,2,2,6,8,1,80,20,2017,"Saptari","Treatment",1,12,"CAULIFLOWER"
"T109203001",37,"Vegetables","Winter",9,12,1,2,2,4,1.5,1,70,25,2017,"Saptari","Treatment",1,8,"GREENLEAFY VEGETABLE"
"T109203001",8,"Vegetables","Winter",9,12,1,2,2,6,5,1,80,30,2017,"Saptari","Treatment",1,12,"BRINJAL"
"T109203001",11,"Vegetables","Winter",9,12,1,2,2,9,1.5,1,70,120,2017,"Saptari","Treatment",1,18,"CHILLIES"
"T109203001",47,"Vegetables","Winter",9,12,3,0,0,0,8,1,70,9,2017,"Saptari","Treatment",1,0,"POTATO"
"T109203001",21,"Vegetables","Winter",9,12,4,0,0,0,35,3,60,100,2017,"Saptari","Treatment",1,0,"GREEN PEA"
"T109201007",21,"Vegetables","Winter",9,12,3,0,0,0,30,3,60,110,2017,"Saptari","Control",0,0,"GREEN PEA"
"T109201007",47,"Vegetables","Winter",9,12,1,0,0,0,6,1,0,0,2017,"Saptari","Control",0,0,"POTATO"
"T210407004",47,"Vegetables","Winter",9,12,2,0,0,0,10,1,50,8,2017,"Saptari","Control",0,0,"POTATO"
"C008109001",20,"Vegetables","Winter",9,12,20,0,0,0,20,3,50,80,2017,"Saptari","Control",0,0,"PEA"
"C008109001",21,"Vegetables","Winter",9,12,25,0,0,0,30,3,50,85,2017,"Saptari","Control",0,0,"GREEN PEA"
"T103207003",21,"Vegetables","Winter",9,12,10,0,0,0,35,3,50,100,2017,"Saptari","Control",0,0,"GREEN PEA"
"T103204001",47,"Vegetables","Winter",9,12,2,0,0,0,8,1,25,8,2017,"Saptari","Treatment",1,0,"POTATO"
"T103204001",58,"Vegetables","Winter",9,12,3,4,0,0,30,3,50,100,2017,"Saptari","Treatment",1,0,"CORIANDER"
"T103204001",21,"Vegetables","Winter",9,12,5,0,0,0,30,3,50,90,2017,"Saptari","Treatment",1,0,"GREEN PEA"
"T210701004",47,"Vegetables","Winter",9,12,10,0,0,0,7,1,0,0,2017,"Saptari","Treatment",1,0,"POTATO"
"T210701004",20,"Vegetables","Winter",9,12,15,0,0,0,20,3,0,0,2017,"Saptari","Treatment",1,0,"PEA"
"T210701004",21,"Vegetables","Winter",9,12,10,0,0,0,30,3,0,0,2017,"Saptari","Treatment",1,0,"GREEN PEA"
"T210701007",47,"Vegetables","Winter",9,12,2,0,0,0,8,1,50,8,2017,"Saptari","Control",0,0,"POTATO"
"T100502005",47,"Vegetables","Winter",8,12,5,2,2,2,3,1,50,20,2017,"Saptari","Control",0,20,"POTATO"
"T100502005",53,"Vegetables","Winter",8,12,5,2,2,3,3,1,50,30,2017,"Saptari","Control",0,30,"ONIONS"
"T100502005",37,"Vegetables","Summer",12,3,10,2,2,6,0,NA,50,20,2017,"Saptari","Control",0,120,"GREENLEAFY VEGETABLE"
"T200103002",47,"Vegetables","Winter",8,12,3,2,1,1,4,1,0,0,2017,"Saptari","Treatment",1,3,"POTATO"
"T200103002",53,"Vegetables","Winter",8,12,2,2,2,3,3,1,0,0,2017,"Saptari","Treatment",1,12,"ONIONS"
"T200103002",37,"Vegetables","Summer",12,3,10,2,2,5,0,NA,0,0,2017,"Saptari","Treatment",1,100,"GREENLEAFY VEGETABLE"
"T107607004",47,"Vegetables","Winter",8,12,2,2,1,2,4,1,0,0,2017,"Saptari","Control",0,4,"POTATO"
"T107607004",53,"Vegetables","Winter",8,12,3,2,1,2,5,1,0,0,2017,"Saptari","Control",0,6,"ONIONS"
"T107607004",37,"Vegetables","Summer",12,3,5,2,1,5,0,NA,0,0,2017,"Saptari","Control",0,25,"GREENLEAFY VEGETABLE"
"T108803001",37,"Vegetables","Summer",12,3,10,2,2,5,0,NA,0,0,2017,"Saptari","Control",0,100,"GREENLEAFY VEGETABLE"
"T108804002",37,"Vegetables","Summer",12,3,10,2,2,4,0,NA,0,0,2017,"Saptari","Control",0,80,"GREENLEAFY VEGETABLE"
"T203309001",47,"Vegetables","Winter",8,12,5,2,1,2,5,1,50,20,2017,"Saptari","Control",0,10,"POTAT0"
"T203309001",53,"Vegetables","Winter",8,12,5,2,1,2,5,1,50,30,2017,"Saptari","Control",0,10,"ONIONS"
"T203309001",37,"Vegetables","Summer",12,3,5,2,1,6,0,NA,50,20,2017,"Saptari","Control",0,30,"GREENLEAFY VEGETABLE"
"T203308002",53,"Vegetables","Winter",8,12,10,2,2,3,2,1,0,0,2017,"Saptari","Control",0,60,"ONIONS"
"T203308002",47,"Vegetables","Winter",8,12,5,2,2,4,4,1,25,20,2017,"Saptari","Control",0,40,"POTATO"
"T203308002",37,"Vegetables","Summer",12,3,5,2,2,5,20,3,75,20,2017,"Saptari","Control",0,50,"GREENLEAFY VEGETABLE"
"T203308002",8,"Vegetables","Summer",12,3,3,2,2,3,25,3,75,30,2017,"Saptari","Control",0,18,"BRINJAL"
"T203308002",12,"Vegetables","Summer",12,3,2,2,2,3,15,3,75,35,2017,"Saptari","Control",0,12,"CUCUMBER"
"T100503002",37,"Vegetables","Summer",12,3,2,2,4,6,15,3,0,0,2017,"Saptari","Treatment",1,48,"GREENLEAFY VEGETABLE"
"T100501007",47,"Vegetables","Winter",8,12,3,2,1,2,5,1,50,20,2017,"Saptari","Control",0,6,"POTATO"
"T100501007",53,"Vegetables","Winter",8,12,2,2,2,3,4,1,50,30,2017,"Saptari","Control",0,12,"ONIONS"
"T100501007",8,"Vegetables","Summer",12,3,1,2,1,2,0,NA,95,25,2017,"Saptari","Control",0,2,"BRINJAL"
"T100501007",37,"Vegetables","Summer",12,3,5,2,1,4,0,NA,95,20,2017,"Saptari","Control",0,20,"GREENLEAFY VEGETABLE"
"T100501007",12,"Vegetables","Summer",12,3,1,2,1,4,0,NA,95,25,2017,"Saptari","Control",0,4,"CUCUMBER"
"T100501007",17,"Vegetables","Summer",12,3,1,2,1,5,0,NA,95,30,2017,"Saptari","Control",0,5,"POINTED GOURD"
"T100501007",30,"Vegetables","Summer",12,3,2,2,1,3,0,NA,95,30,2017,"Saptari","Control",0,6,"YARD LONG BEANS"
"T100505008",47,"Vegetables","Winter",8,12,5,2,2,2,4,1,50,20,2017,"Saptari","Control",0,20,"POTATO"
"T100505008",53,"Vegetables","Winter",8,12,5,2,2,4,5,1,50,25,2017,"Saptari","Control",0,40,"ONIONS"
"T100505008",44,"Vegetables","Winter",8,12,5,2,2,3,0,NA,95,30,2017,"Saptari","Control",0,30,"CAULIFLOWER"
"T100505008",14,"Vegetables","Summer",12,3,3,2,1,4,0,NA,85,30,2017,"Saptari","Control",0,12,"BOTTLE GOURD"
"T100505008",8,"Vegetables","Summer",12,3,5,2,1,3,0,NA,85,30,2017,"Saptari","Control",0,15,"BRINJAL"
"T100505008",12,"Vegetables","Summer",12,3,2,2,2,2,0,NA,85,40,2017,"Saptari","Control",0,8,"CUCUMBER"
"T100505008",15,"Vegetables","Summer",12,3,5,2,2,2,0,NA,85,50,2017,"Saptari","Control",0,20,"BELL PEPPER"
"T100505008",37,"Vegetables","Summer",12,3,5,1,1,2,0,NA,95,20,2017,"Saptari","Control",0,10,"GREENLEAFY VEGETABLE"
"T109901004",37,"Vegetables","Summer",12,3,10,2,2,3,0,NA,0,0,2017,"Saptari","Control",0,60,"GREENLEAFY VEGETABLE"
"T109901004",12,"Vegetables","Summer",12,3,3,2,2,3,0,NA,0,0,2017,"Saptari","Control",0,18,"CUCUMBER"
"T109901004",11,"Vegetables","Summer",12,3,2,2,2,3,0,NA,0,0,2017,"Saptari","Control",0,12,"CHILLIES"
"T109901005",47,"Vegetables","Winter",8,12,5,2,1,3,5,1,50,20,2017,"Saptari","Control",0,15,"POTATO"
"T109901005",53,"Vegetables","Winter",8,12,5,2,1,3,5,1,50,30,2017,"Saptari","Control",0,15,"ONIONS"
"T109901005",37,"Vegetables","Summer",12,3,5,2,1,5,0,NA,0,0,2017,"Saptari","Control",0,25,"GREENLEAFY VEGETABLE"
"T110507002",37,"Vegetables","Summer",12,3,10,2,2,4,0,NA,95,20,2017,"Saptari","Control",0,80,"GREENLEAFY VEGETABLE"
"C004703001",47,"Vegetables","Winter",8,12,5,2,2,3,7,1,25,30,2017,"Saptari","Control",0,30,"POTATO"
"C004703001",53,"Vegetables","Winter",8,12,5,2,2,4,2,1,50,40,2017,"Saptari","Control",0,40,"ONIONS"
"C004703001",44,"Vegetables","Winter",8,12,5,2,2,3,1,2,50,30,2017,"Saptari","Control",0,30,"CAULIFLOWER"
"C004703001",30,"Vegetables","Summer",12,3,5,2,2,5,10,3,0,0,2017,"Saptari","Control",0,50,"YARD LONG BEANS"
"C004703001",37,"Vegetables","Summer",12,3,5,2,1,4,10,3,0,0,2017,"Saptari","Control",0,20,"GREENLEAFY VEGETABLE"
"C001705001",37,"Vegetables","Summer",12,3,3,2,1,4,30,3,0,0,2017,"Saptari","Control",0,12,"GREENLEAFY VEGETABLE"
