"household_questionnaire_id","do_you_own_use_a_krishi_meter","a__how_long_ago_did_you_receive","b__how_much_did_you_pay_for_the","unit_price_for_krishi_elec","how_many_electric_pumps_do_yo","do_you_use_a_domestic_connect","when_did_you_receive_the_con","how_much_did_you_pay_for_con","unit_price_dom_elec","how_many_electric_pumps_do_yp","hrs_electricity_in_monsoon","hrs_electricity_in_winter","hrs_electricity_in_summer","distance_of_electricity_mete","total_expenses_on_electricit","is_the_number_of_hrs_of_elec","is_the_quality_of_electricit","do_you_buy_fuel_for_the_pump","if_yes__which_fuel_do_you_use","at_which_price_did_you_buy_it","diesel_available_within_villa","diesel_available_within_5_km","diesel_available_when_needed","have_to_pay_black_market_rat","total_litres_consumed_dieselkero","year","district","TreatmentControl","TC"
"T205104006",2,NA,NA,NA,NA,1,2067,2000,9.60000038146973,1,7,15,10,50,966,1,1,2,NA,NA,NA,NA,NA,NA,NA,2019,"SAPTARI","Control",0
"T110510001",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,100,1,1,1,2,40,2019,"SAPTARI","Control",0
"T203907006",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,98,1,1,1,2,50,2019,"SAPTARI","Control",0
"T110502004",2,NA,NA,NA,NA,1,2054,200,9.60000038146973,1,19,22,15,600,386,1,1,2,NA,NA,NA,NA,NA,NA,NA,2019,"SAPTARI","Control",0
"T203908009",1,6,2000,4.59999990463257,1,2,NA,NA,NA,NA,15,12,10,3,463,2,2,2,NA,NA,NA,NA,NA,NA,NA,2019,"SAPTARI","Control",0
"C001410002",2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,100,1,1,1,2,50,2019,"SAPTARI","Control",0
"T108808014",1,10,1000,5.59999990463257,3,2,NA,NA,NA,NA,18,21,22,120,2000,1,1,2,NA,NA,NA,NA,NA,NA,NA,2019,"SAPTARI","Control",0
"T109201007",1,7,5000,3.59999990463257,1,2,NA,NA,NA,NA,18,21,20,200,160,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2019,"SAPTARI","Control",0
"T109908003",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,100,1,1,1,2,20,2019,"SAPTARI","Control",0
"T203900307",2,NA,NA,NA,NA,2,NA,NA,NA,NA,20,21,18,330,644,1,1,2,NA,NA,NA,NA,NA,NA,NA,2019,"SAPTARI","Control",0
"T110503003",2,NA,NA,NA,NA,1,2068,5000,9.60000038146973,1,20,22,19,45,300,1,1,2,NA,NA,NA,NA,NA,NA,NA,2019,"SAPTARI","Control",0
"T206702001",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,98,1,1,1,2,186,2019,"SAPTARI","Control",0
"T110507002",2,NA,NA,NA,NA,1,2075,7000,9.60000038146973,1,18,20,15,35,966,1,1,2,NA,NA,NA,NA,NA,NA,NA,2019,"SAPTARI","Control",0
"T109903002",1,2,3000,4.59999990463257,1,2,NA,NA,NA,NA,22,22,21,50,462,1,1,2,NA,NA,NA,NA,NA,NA,NA,2019,"SAPTARI","Control",0
"T106006002",2,NA,NA,NA,NA,2,NA,NA,NA,NA,20,20,22,200,0,1,1,1,1,100,1,1,1,2,45,2019,"SAPTARI","Control",0
"A104507035",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,100,2,1,1,1,25,2019,"SAPTARI","Treatment",1
"E104705010",1,7,3000,4.59999990463257,1,2,NA,NA,NA,NA,18,16,20,20,2470,1,1,2,NA,NA,NA,NA,NA,NA,NA,2019,"SAPTARI","Treatment",1
"A110402001",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2019,"SAPTARI","Treatment",1
"T210709003",1,11,7000,3.5,1,1,2057,3000,8.5,2,16,20,21,600,1500,1,1,2,NA,NA,NA,NA,NA,NA,NA,2019,"SAPTARI","Treatment",1
"T210408001",1,7,2500,4.59999990463257,1,2,NA,NA,NA,NA,18,21,20,10,1200,1,1,2,NA,NA,NA,NA,NA,NA,NA,2019,"SAPTARI","Treatment",1
"T109205004",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2019,"SAPTARI","Treatment",1
"T102007001",1,11,10000,4.59999990463257,1,2,NA,NA,NA,NA,18,21,20,25,1000,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2019,"SAPTARI","Treatment",1
"T210708002",2,NA,NA,NA,NA,1,2073,10000,9.60000038146973,1,18,21,20,40,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,2019,"SAPTARI","Treatment",1
"T210101002",2,NA,NA,NA,NA,2,NA,NA,NA,NA,20,21,18,100,0,1,1,1,1,90,1,1,1,2,548,2019,"SAPTARI","Treatment",1
"T203908001",2,NA,NA,NA,NA,2,NA,NA,NA,NA,23,24,20,100,0,1,1,2,NA,NA,NA,NA,NA,NA,NA,2019,"SAPTARI","Treatment",1
"T203901002",1,13,12000,4.59999990463257,1,2,NA,NA,NA,NA,16,20,19,500,2470,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2019,"SAPTARI","Treatment",1
"T103204001",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2019,"SAPTARI","Treatment",1
"T109902001",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2019,"SAPTARI","Treatment",1
"T200103002",1,7,7000,4.59999990463257,4,2,NA,NA,NA,NA,18,20,21,100,25000,1,1,1,1,95,1,1,1,1,30,2019,"SAPTARI","Treatment",1
"T210904001",1,4,3000,4.59999990463257,1,2,NA,NA,NA,NA,10,20,22,200,500,1,1,1,1,100,1,1,1,2,54,2019,"SAPTARI","Treatment",1
"T110505001",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2019,"SAPTARI","Treatment",1
"T109203001",1,5,4000,4.59999990463257,1,2,NA,NA,NA,NA,18,20,21,50,2000,1,1,2,NA,NA,NA,NA,NA,NA,NA,2019,"SAPTARI","Treatment",1
"T205105003",1,2,NA,4.59999990463257,1,2,NA,NA,NA,NA,22,20,21,82,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,2019,"SAPTARI","Treatment",1
"T106605002",2,NA,NA,NA,NA,2,NA,NA,NA,NA,20,20,22,300,0,1,1,1,1,98,1,1,1,2,30,2019,"SAPTARI","Treatment",1
"T106604004",2,NA,NA,NA,NA,1,2065,8000,8.5,1,20,20,20,300,800,1,1,2,NA,NA,NA,NA,NA,NA,NA,2019,"SAPTARI","Control",0
