"household_questionnaire_id","type_of_crop","name_of_crop","season_of_crop","when_is_crop_sowed","when_is_crop_harvested","cult_area_under_crop","most_imp_source","hrs_irr_1katha","no_of_irrigation_for_1_katha","what_was_your_total_harvest","unit_harvest","percent_for_selling","price_per_kg","year","district","TreatmentControl","TC","irri_for_season","name_of_crop_detail"
"C008508001",47,"Vegetables","Winter",8,11,2,2,0.5,2,15,1,50,14,2017,"Saptari","Control",0,2,"POTATO"
"C008508001",27,"Pulses","Summer",12,NA,5,1,0.5,0,25,3,25,100,2017,"Saptari","Control",0,0,"GREEN GRAM"
"T107104001",1,"Paddy","Monsoon",3,8,10,2,1,3,3,1,0,0,2017,"Saptari","Control",0,30,"PADDY"
"T107104001",2,"Wheat","Winter",8,12,5,2,1,2,1,1,0,0,2017,"Saptari","Control",0,10,"WHEAT"
"T107104001",47,"Vegetables","Winter",8,12,3,2,1,2,15,1,75,15,2017,"Saptari","Control",0,6,"POTATO"
"T107104001",11,"Vegetables","Winter",8,NA,1,2,1,5,125,3,75,125,2017,"Saptari","Control",0,5,"CHILLIES"
"T107104001",10,"Vegetables","Winter",11,NA,1,2,1,5,50,3,0,0,2017,"Saptari","Control",0,5,"OKRA"
"T107104001",27,"Pulses","Summer",12,NA,10,1,0,0,15,3,75,100,2017,"Saptari","Control",0,0,"GREEN GRAM"
"T102009002",1,"Paddy","Monsoon",3,8,54,2,1,2,4,1,75,18,2017,"Saptari","Control",0,108,"PADDY"
"T102009002",2,"Wheat","Winter",8,12,10,2,1,2,2,1,75,28,2017,"Saptari","Control",0,20,"WHEAT"
"T102009002",47,"Vegetables","Winter",8,11,5,2,1,3,10,1,75,25,2017,"Saptari","Control",0,15,"POTATO"
"T102009002",44,"Vegetables","Winter",8,10,3,2,1,5,20,1,95,40,2017,"Saptari","Control",0,15,"CAULIFLOWER"
"T102009002",45,"Vegetables","Winter",8,11,2,2,1,4,25,1,95,30,2017,"Saptari","Control",0,8,"CABBAGE"
"T102009002",27,"Pulses","Summer",12,NA,10,1,0,0,20,3,75,100,2017,"Saptari","Control",0,0,"GREEN GRAM"
"T102007003",1,"Paddy","Monsoon",3,8,17,2,1,2,3,1,50,18,2017,"Saptari","Control",0,34,"PADDY"
"T102007003",2,"Wheat","Winter",8,12,5,2,1,3,2,1,0,0,2017,"Saptari","Control",0,15,"WHEAT"
"T102007003",47,"Vegetables","Winter",8,11,2,2,1,2,5,1,50,15,2017,"Saptari","Control",0,4,"POTATO"
"T106006002",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,"Saptari","Control",0,NA,""
"C009006002",1,"Paddy","Monsoon",3,8,35,2,1,2,4,1,75,19,2017,"Saptari","Control",0,70,"PADDY"
"C009006002",2,"Wheat","Winter",8,12,15,2,1,3,2,1,50,28,2017,"Saptari","Control",0,45,"WHEAT"
"C009006002",47,"Vegetables","Winter",8,11,5,2,1,3,5,1,60,15,2017,"Saptari","Control",0,15,"POTATO"
"C009006002",6,"Cereals","Summer",12,NA,7,2,1,8,4,1,80,20,2017,"Saptari","Control",0,56,"OTHER CEREALS"
"T211002001",1,"Paddy","Monsoon",3,8,35,2,1,4,3,1,0,0,2017,"Saptari","Control",0,140,"PADDY"
"T211002001",2,"Wheat","Winter",8,12,25,2,1,3,2,1,50,30,2017,"Saptari","Control",0,75,"WHEAT"
"T211002001",27,"Pulses","Summer",12,NA,5,1,0,0,10,3,25,100,2017,"Saptari","Control",0,0,"GREEN GRAM"
"T107605005",1,"Paddy","Monsoon",3,8,20,2,2,2,4,1,50,15,2017,"Saptari","Control",0,80,"PADDY"
"T107605005",2,"Wheat","Winter",8,12,15,2,2,2,2,1,50,27,2017,"Saptari","Control",0,60,"WHEAT"
"C009006003",1,"Paddy","Monsoon",3,8,40,2,1,4,3,1,25,18,2017,"Saptari","Control",0,160,"PADDY"
"C009006003",2,"Wheat","Winter",8,12,15,2,1,3,2,1,50,25,2017,"Saptari","Control",0,45,"WHEAT"
"C009006003",47,"Vegetables","Winter",8,11,5,2,0.5,2,7,1,25,15,2017,"Saptari","Control",0,5,"POTATO"
"T107104002",1,"Paddy","Monsoon",3,8,50,2,1,2,3,1,50,15,2017,"Saptari","Control",0,100,"PADDY"
"T107104002",2,"Wheat","Winter",8,12,15,2,1,2,1,1,0,0,2017,"Saptari","Control",0,30,"WHEAT"
"T102007001",1,"Paddy","Monsoon",3,8,160,2,1,2,3,1,90,18,2017,"Saptari","Treatment",1,320,"PADDY"
"T102007001",2,"Wheat","Winter",8,12,40,2,1,3,2,1,75,28,2017,"Saptari","Treatment",1,120,"WHEAT"
"T102007001",47,"Vegetables","Winter",8,11,10,2,1,3,5,1,75,20,2017,"Saptari","Treatment",1,30,"POTATO"
"T102007001",43,"Oilseeds","Winter",8,11,10,2,1,2,20,3,50,100,2017,"Saptari","Treatment",1,20,"MUSTARD"
"T102007001",27,"Pulses","Summer",12,NA,10,1,0,0,20,3,75,125,2017,"Saptari","Treatment",1,0,"GREEN GRAM"
"T104305001",1,"Paddy","Monsoon",3,7,20,2,2,1,2.5,1,0,0,2017,"Saptari","Control",0,40,"PADDY"
"T104305001",2,"Wheat","Winter",7,12,10,2,2,2,2,1,0,0,2017,"Saptari","Control",0,40,"WHEAT"
"T104305001",42,"Oilseeds","Winter",7,12,2,0,0,0,25,3,0,0,2017,"Saptari","Control",0,0,"LINSEED"
"T104305001",53,"Vegetables","Winter",8,1,4,2,2,5,1,4,15,12,2017,"Saptari","Control",0,40,"ONIONS"
"T104305001",47,"Vegetables","Winter",8,11,4,2,2,5,2,1,25,8,2017,"Saptari","Control",0,40,"POTATO"
"T110505001",1,"Paddy","Winter",3,7,40,2,1,1,3,1,65,15,2017,"Saptari","Treatment",1,40,"PADDY"
"T110505001",2,"Wheat","Winter",7,12,37,2,2,2,1.5,1,30,15,2017,"Saptari","Treatment",1,148,"WHEAT"
"T110505001",42,"Oilseeds","Winter",7,12,3,2,1,1,30,3,0,0,2017,"Saptari","Treatment",1,3,"LINSEED"
"T110505001",1,"Paddy","Summer",3,12,8,2,2,4,2.5,1,0,0,2017,"Saptari","Treatment",1,64,"PADDY"
"T110505001",12,"Vegetables","Summer",3,11,5,2,2,4,0,NA,40,8,2017,"Saptari","Treatment",1,40,"CUCUMBER"
"T109202002",1,"Paddy","Monsoon",3,7,50,2,1,1,3,1,70,18,2017,"Saptari","Control",0,50,"PADDY"
"T109202002",2,"Wheat","Winter",7,12,40,2,1.5,2,1.5,3,50,20,2017,"Saptari","Control",0,120,"WHEAT"
"T109202002",42,"Oilseeds","Winter",7,12,2,2,0,0,25,3,0,0,2017,"Saptari","Control",0,0,"LINSEED"
"T109202002",33,"Pulses","Winter",7,11,2,2,0,0,30,3,0,0,2017,"Saptari","Control",0,0,"RED LENTIL"
"T109202002",47,"Vegetables","Winter",8,11,6,2,1.5,4,12,1,70,10,2017,"Saptari","Control",0,36,"POTATO"
"T109202002",1,"Paddy","Summer",3,12,20,2,1.5,4,2.5,1,0,0,2017,"Saptari","Control",0,120,"PADDY"
"T203907006",1,"Paddy","Monsoon",3,7,20,2,1.5,1,2.5,1,20,19,2017,"Saptari","Control",0,30,"PADDY"
"T203907006",2,"Wheat","Winter",7,12,15,2,2,2,1,1,40,20,2017,"Saptari","Control",0,60,"WHEAT"
"T203907006",47,"Vegetables","Winter",7,9,3,2,2,2,14,1,70,14,2017,"Saptari","Control",0,12,"POTATO"
"T203907006",53,"Vegetables","Winter",8,12,2,2,2,6,1,1,80,12,2017,"Saptari","Control",0,24,"ONIONS"
"T203907006",1,"Paddy","Summer",12,3,10,2,2,7,2,1,0,0,2017,"Saptari","Control",0,140,"PADDY"
"T210703008",1,"Paddy","Monsoon",3,7,15,2,1,1,3,1,0,0,2017,"Saptari","Control",0,15,"PADDY"
"T210703008",2,"Wheat","Winter",7,12,10,2,1,2,2.5,1,0,0,2017,"Saptari","Control",0,20,"WHEAT"
"T210703008",42,"Oilseeds","Winter",7,12,1,0,0,0,25,3,0,0,2017,"Saptari","Control",0,0,"LINSEED"
"T210703008",33,"Pulses","Winter",7,11,2,2,2,1,28,3,50,50,2017,"Saptari","Control",0,4,"RED LENTIL"
"T210703008",47,"Vegetables","Winter",7,10,3,2,2,4,12,1,70,10,2017,"Saptari","Control",0,24,"POTATO"
"T210703008",1,"Paddy","Summer",12,3,10,2,2,4,2,1,0,0,2017,"Saptari","Control",0,80,"PADDY"
"T210703008",12,"Vegetables","Summer",11,3,5,2,1,4,0,NA,70,10,2017,"Saptari","Control",0,20,"CUCUMBER"
"T110502004",1,"Paddy","Monsoon",3,7,35,2,1,1,3,1,0,0,2017,"Saptari","Control",0,35,"PADDY"
"T110502004",2,"Wheat","Winter",7,12,8,2,2,2,2.5,1,0,0,2017,"Saptari","Control",0,32,"WHEAT"
"T110502004",42,"Oilseeds","Winter",7,12,2,0,0,0,20,3,0,0,2017,"Saptari","Control",0,0,"LINSEED"
"T204807001",1,"Paddy","Winter",3,7,60,3,0.5,1,3,1,40,18,2017,"Saptari","Control",0,30,"PADDY"
"T204807001",2,"Wheat","Winter",7,12,25,2,0.5,2,2.5,1,0,0,2017,"Saptari","Control",0,25,"WHEAT"
"T204807001",42,"Oilseeds","Winter",7,12,2,0,0,0,25,3,0,0,2017,"Saptari","Control",0,0,"LINSEED"
"T204807001",33,"Pulses","Winter",7,11,3,2,0.5,1,30,3,10,58,2017,"Saptari","Control",0,1.5,"RED LENTIL"
"T204807001",1,"Paddy","Summer",12,3,8,3,0.5,3,2,1,0,0,2017,"Saptari","Control",0,12,"PADDY"
